description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,73990,11279
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,105392,18753
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,58714,7770
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,37912,6938
BRONCHITIS & ASTHMA W/O CC/MCC,203,32280,6108
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,44618,9225
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,88542,12553
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,34074,5781
CELLULITIS W MCC,602,70045,15673
CELLULITIS W/O MCC,603,37332,8379
CERVICAL SPINAL FUSION W/O CC/MCC,473,105018,18652
CHEST PAIN,313,39529,5610
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,37332,8871
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,50715,10975
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,38577,7066
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,109575,19322
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,61018,10676
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,37479,8437
DIABETES W CC,638,31430,7945
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,54419,10973
DYSEQUILIBRIUM,149,30819,6155
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,53725,11360
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,38510,7284
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,45345,9154
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,42715,7343
G.I. HEMORRHAGE W CC,378,46541,9575
G.I. HEMORRHAGE W MCC,377,75058,16818
G.I. HEMORRHAGE W/O CC/MCC,379,47820,7247
G.I. OBSTRUCTION W CC,389,38842,8892
G.I. OBSTRUCTION W/O CC/MCC,390,32958,6954
HEART FAILURE & SHOCK W CC,292,54199,10067
HEART FAILURE & SHOCK W MCC,291,79948,14234
HEART FAILURE & SHOCK W/O CC/MCC,293,38884,6588
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,96770,27879
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,174462,30681
HYPERTENSION W/O MCC,305,37168,6157
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,297588,55242
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,63712,11150
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,105796,18900
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,34903,7584
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,34129,10045
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,34910,7363
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,128882,28286
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,58112,12825
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,81655,19146
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,116278,23182
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,216257,46453
MEDICAL BACK PROBLEMS W/O MCC,552,50690,10424
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,59724,10922
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,43859,7042
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,54263,9169
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,132812,21345
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,42234,9777
OTHER VASCULAR PROCEDURES W CC,253,138936,24194
OTHER VASCULAR PROCEDURES W MCC,252,133846,29179
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,81053,14746
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,151276,28171
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,108463,17439
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,95731,15882
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,114840,16205
PERIPHERAL VASCULAR DISORDERS W CC,300,42170,9104
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,31425,6464
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,151427,23656
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,119378,18192
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,34682,6446
PSYCHOSES,885,25402,9556
PULMONARY EDEMA & RESPIRATORY FAILURE,189,72669,12910
PULMONARY EMBOLISM W/O MCC,176,47555,9447
RED BLOOD CELL DISORDERS W MCC,811,76134,14217
RED BLOOD CELL DISORDERS W/O MCC,812,27207,7658
RENAL FAILURE W CC,683,52287,10130
RENAL FAILURE W MCC,682,83828,15252
RENAL FAILURE W/O CC/MCC,684,32775,6442
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,60756,14002
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,77983,17230
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,281713,50536
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,107952,26221
SEIZURES W/O MCC,101,28824,7411
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,307033,59419
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,111747,19267
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,66792,11720
SIGNS & SYMPTOMS W/O MCC,948,34384,6729
SIMPLE PNEUMONIA & PLEURISY W CC,194,48057,9800
SIMPLE PNEUMONIA & PLEURISY W MCC,193,58535,13915
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,23540,7056
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,153899,34059
SYNCOPE & COLLAPSE,312,46658,7159
TRANSIENT ISCHEMIA,069,47322,7798
