city,avgCoveredCharges,averagePayments
ATLANTIC CITY,59280,7174
BAYONNE,111733,6561
BELLEVILLE,56084,7238
BERLIN,54310,6524
BRICK,49844,5904
BROWNS MILLS,37166,7507
CAMDEN,44163,8237
CAPE MAY COURT,17796,6025
DENVILLE,44864,6490
EAST ORANGE,42778,7459
EDISON,43390,7120
ELIZABETH,36119,7844
ELMER,46908,5871
ENGLEWOOD,51842,7794
FLEMINGTON,28348,7497
FREEHOLD,36042,6217
HACKENSACK,60441,7802
HACKETTSTOWN,57832,6512
HAMILTON,59776,5901
HOBOKEN,49684,9117
HOLMDEL,39789,5867
JERSEY CITY,52987,9061
LAKEWOOD,51215,6532
LIVINGSTON,55344,8858
LONG BRANCH,58134,8185
MANAHAWKIN,30610,5868
MONTCLAIR,42500,8364
MORRISTOWN,39842,7866
MOUNT HOLLY,46403,6182
NEPTUNE,48524,7190
NEW BRUNSWICK,72256,8442
NEWARK,40771,10666
NEWTON,52710,6515
NORTH BERGEN,47436,8264
PASSAIC,47164,7642
PATERSON,65395,9245
PENNINGTON,75119,7345
PERTH AMBOY,55756,7682
PHILLIPSBURG,55366,7530
POMPTON PLAINS,46824,6594
PRINCETON,43410,6696
RAHWAY,61379,5929
RED BANK,51902,6129
RIDGEWOOD,39148,6581
SALEM,30850,6415
SECAUCUS,70578,7725
SOMERS POINT,48486,5916
SOMERVILLE,98784,8981
STRATFORD,53585,7748
SUMMIT,33134,7679
TEANECK,34184,6973
TOMS RIVER,46990,5892
TRENTON,76232,8625
VINELAND,47149,6777
WILLINGBORO,47936,6160
WOODBURY,44420,6252
