city,avgCoveredCharges,averagePayments
ATLANTIC CITY,56800,4960
BELLEVILLE,32108,5329
BERLIN,37080,4725
BRICK,35670,4330
CAMDEN,42291,6554
CAPE MAY COURT,16521,4478
DENVILLE,34889,4854
EAST ORANGE,34592,5475
EDISON,28750,5183
ELIZABETH,38443,5937
ENGLEWOOD,30704,5659
FLEMINGTON,16098,4934
FREEHOLD,26126,4481
HACKENSACK,31980,5776
HAMILTON,47570,4303
HOBOKEN,44263,6643
HOLMDEL,31687,4298
JERSEY CITY,42000,6608
LAKEWOOD,31227,4801
LIVINGSTON,34005,6957
LONG BRANCH,30458,5939
MANAHAWKIN,25081,4336
MONTCLAIR,25881,5865
MORRISTOWN,26522,5749
MOUNT HOLLY,31599,4472
NEPTUNE,43254,5430
NEW BRUNSWICK,40574,6149
NEWARK,31298,7232
NEWTON,38198,4782
NORTH BERGEN,31484,6016
PASSAIC,25790,5568
PATERSON,36269,6683
PENNINGTON,52555,5439
PERTH AMBOY,33444,5603
PHILLIPSBURG,45125,5602
POMPTON PLAINS,29930,4775
PRINCETON,23603,4990
RAHWAY,53869,4322
RED BANK,29780,4355
RIDGEWOOD,21819,5145
SALEM,32430,4712
SECAUCUS,54990,5375
SOMERVILLE,64956,4976
STRATFORD,38257,5638
SUMMIT,17682,5409
TEANECK,18565,5087
TOMS RIVER,29612,4312
TRENTON,50570,5485
VINELAND,27761,5147
WILLINGBORO,37646,4580
WOODBURY,32174,4675
