city,avgCoveredCharges,averagePayments
ATLANTIC CITY,71768,9150
BAYONNE,139929,9263
BELLEVILLE,61641,9961
BERLIN,60551,8218
BRICK,57614,7946
BROWNS MILLS,70981,12787
CAMDEN,70764,11835
CAPE MAY COURT,25896,7581
DENVILLE,49683,8166
EAST ORANGE,60610,11100
EDISON,57096,10011
ELIZABETH,58118,11080
ELMER,51096,7143
ENGLEWOOD,64490,10996
FLEMINGTON,31180,8866
FREEHOLD,45199,8445
HACKENSACK,77295,12669
HACKETTSTOWN,58007,8263
HAMILTON,69705,7739
HOBOKEN,53273,9538
HOLMDEL,52154,8081
JERSEY CITY,70204,10994
LAKEWOOD,56160,7641
LIVINGSTON,67833,12060
LONG BRANCH,64745,10364
MANAHAWKIN,38229,7461
MONTCLAIR,49389,11021
MORRISTOWN,48650,11859
MOUNT HOLLY,60212,8647
NEPTUNE,66843,9989
NEW BRUNSWICK,83659,12244
NEWARK,63631,14623
NEWTON,68998,8483
NORTH BERGEN,56731,10553
PARAMUS,29197,8152
PASSAIC,54973,11092
PATERSON,67264,12598
PENNINGTON,82535,9305
PERTH AMBOY,70329,10482
PHILLIPSBURG,62758,9198
POMPTON PLAINS,48412,8775
PRINCETON,40973,8205
RAHWAY,81506,8345
RED BANK,60498,8224
RIDGEWOOD,40416,8799
SALEM,35450,6465
SECAUCUS,114536,11108
SOMERS POINT,64171,8575
SOMERVILLE,87401,9032
STRATFORD,56565,8973
SUMMIT,41328,10749
SUSSEX,35858,6202
TEANECK,44102,9480
TOMS RIVER,52686,7584
TRENTON,87642,9586
VINELAND,56633,8796
WILLINGBORO,71099,7690
WOODBURY,59160,7826
