description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,56260,6966
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,87562,11976
ATHEROSCLEROSIS W/O MCC,303,44561,3891
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,43564,5432
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,59897,7887
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,31668,3806
CELLULITIS W/O MCC,603,44414,5620
CHEST PAIN,313,33882,3675
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,57832,6512
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,83104,8710
DYSEQUILIBRIUM,149,35684,4274
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,38895,4866
FRACTURES OF HIP & PELVIS W/O MCC,536,33748,4858
G.I. HEMORRHAGE W CC,378,47520,6722
G.I. HEMORRHAGE W MCC,377,82651,11761
HEART FAILURE & SHOCK W CC,292,57067,6828
HEART FAILURE & SHOCK W MCC,291,83106,10598
HEART FAILURE & SHOCK W/O CC/MCC,293,49673,4915
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,64420,12523
HYPERTENSION W/O MCC,305,48946,4106
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,144467,35411
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,61821,7648
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,86670,12988
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,45523,5260
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,65706,11369
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,61714,14205
MEDICAL BACK PROBLEMS W/O MCC,552,41018,5344
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,57226,7626
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,37445,4626
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,64821,11255
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,41421,6649
OTHER VASCULAR PROCEDURES W CC,253,99778,15337
PERIPHERAL VASCULAR DISORDERS W CC,300,42542,6042
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,76702,17492
PULMONARY EDEMA & RESPIRATORY FAILURE,189,75421,9052
RED BLOOD CELL DISORDERS W MCC,811,51845,8391
RED BLOOD CELL DISORDERS W/O MCC,812,29680,5323
RENAL FAILURE W CC,683,52633,6724
RENAL FAILURE W MCC,682,63073,11278
SEIZURES W/O MCC,101,31210,5770
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,76385,12605
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,55690,7594
SIMPLE PNEUMONIA & PLEURISY W CC,194,56033,6735
SIMPLE PNEUMONIA & PLEURISY W MCC,193,82792,9898
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,40278,4707
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,84636,24930
SYNCOPE & COLLAPSE,312,42372,4758
TRANSIENT ISCHEMIA,069,46204,4891
