description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,54554,6413
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,98004,10478
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,38293,4756
ATHEROSCLEROSIS W/O MCC,303,33606,3670
BRONCHITIS & ASTHMA W CC/MCC,202,45450,5493
BRONCHITIS & ASTHMA W/O CC/MCC,203,39279,3693
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,53952,5112
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,70864,7409
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,33918,3455
CELLULITIS W MCC,602,69914,8823
CELLULITIS W/O MCC,603,46879,5331
CHEST PAIN,313,36248,3328
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,59776,5901
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,79558,7281
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,45505,4423
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,127003,12043
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,66698,6559
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,51384,5478
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,37230,5532
DIABETES W CC,638,49024,5037
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,58599,6025
DYSEQUILIBRIUM,149,37274,3919
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,50375,6873
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,42346,4370
FRACTURES OF HIP & PELVIS W/O MCC,536,37928,4262
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,47620,4307
G.I. HEMORRHAGE W CC,378,69159,6186
G.I. HEMORRHAGE W MCC,377,98909,10469
G.I. HEMORRHAGE W/O CC/MCC,379,47570,4303
G.I. OBSTRUCTION W CC,389,53243,5675
G.I. OBSTRUCTION W/O CC/MCC,390,38695,3868
HEART FAILURE & SHOCK W CC,292,64333,6256
HEART FAILURE & SHOCK W MCC,291,91015,9195
HEART FAILURE & SHOCK W/O CC/MCC,293,44733,4124
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,89844,11403
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,141878,18148
