description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,48107,6926
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,68124,10639
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,29718,4682
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,27556,3953
ATHEROSCLEROSIS W/O MCC,303,25240,3529
BRONCHITIS & ASTHMA W/O CC/MCC,203,26743,3691
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,40645,5066
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,47451,7490
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,29642,3447
CELLULITIS W MCC,602,41538,8586
CELLULITIS W/O MCC,603,36066,5067
CHEST PAIN,313,24265,3338
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,39789,5867
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,44285,7154
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,30329,4379
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,109375,12148
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,61054,6492
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,34562,5632
DIABETES W CC,638,37180,4902
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,43327,6124
DYSEQUILIBRIUM,149,36197,3878
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,60068,7366
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,32705,4495
FRACTURES OF HIP & PELVIS W/O MCC,536,32305,4365
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,30301,4342
G.I. HEMORRHAGE W CC,378,45996,6214
G.I. HEMORRHAGE W MCC,377,100780,10951
G.I. HEMORRHAGE W/O CC/MCC,379,31687,4298
G.I. OBSTRUCTION W CC,389,36516,5672
G.I. OBSTRUCTION W/O CC/MCC,390,27376,3866
HEART FAILURE & SHOCK W CC,292,39851,6174
HEART FAILURE & SHOCK W MCC,291,57189,8808
HEART FAILURE & SHOCK W/O CC/MCC,293,27992,4160
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,72940,11186
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,102087,17743
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,59235,9284
HYPERTENSION W/O MCC,305,27278,3726
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,143336,31948
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,46919,6838
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,56736,10951
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,42862,4884
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,48742,7266
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,27795,4773
