description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,61727,7741
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,91472,12335
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,46314,4956
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,34942,4080
ATHEROSCLEROSIS W/O MCC,303,33866,3669
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,46858,6768
BRONCHITIS & ASTHMA W CC/MCC,202,38619,5196
BRONCHITIS & ASTHMA W/O CC/MCC,203,28595,4629
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,40228,5651
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,59880,7883
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,30414,3697
CELLULITIS W MCC,602,57559,10034
CELLULITIS W/O MCC,603,38606,5713
CERVICAL SPINAL FUSION W/O CC/MCC,473,121277,15763
CHEST PAIN,313,36817,3952
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,46403,6182
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,61845,8166
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,32678,4619
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,85338,12656
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,59714,8005
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,61048,6982
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,37958,6101
DIABETES W CC,638,42011,5053
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,43442,7287
DYSEQUILIBRIUM,149,33914,4126
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,63452,7731
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,39891,5052
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,40623,6502
FRACTURES OF HIP & PELVIS W/O MCC,536,28425,4465
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,42098,7690
G.I. HEMORRHAGE W CC,378,47552,6619
G.I. HEMORRHAGE W MCC,377,82984,10947
G.I. HEMORRHAGE W/O CC/MCC,379,31599,4472
G.I. OBSTRUCTION W CC,389,43003,6734
G.I. OBSTRUCTION W/O CC/MCC,390,30077,4384
HEART FAILURE & SHOCK W CC,292,50804,6655
HEART FAILURE & SHOCK W MCC,291,71660,10147
HEART FAILURE & SHOCK W/O CC/MCC,293,34634,4283
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,83966,11810
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,135005,19090
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,68186,10114
HYPERTENSION W/O MCC,305,35267,4437
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,227961,40559
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,60788,7630
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,81306,12964
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,44748,5119
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,70638,8289
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,41019,5208
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,80097,12997
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,57799,7686
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,125624,19309
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,84278,10155
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,122484,20897
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,76863,13043
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,139383,18697
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,268463,39564
MEDICAL BACK PROBLEMS W/O MCC,552,45046,5589
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,52317,8505
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,31072,4413
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,48591,5911
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,63542,11832
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,43120,6328
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,35590,6257
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,89354,12473
OTHER VASCULAR PROCEDURES W CC,253,118712,15356
OTHER VASCULAR PROCEDURES W MCC,252,157021,20730
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,79547,10565
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,121930,14022
PERIPHERAL VASCULAR DISORDERS W CC,300,46706,5984
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,28789,4317
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,92496,16347
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,73458,13339
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,62776,9311
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,33835,3910
PULMONARY EDEMA & RESPIRATORY FAILURE,189,58193,8042
PULMONARY EMBOLISM W/O MCC,176,58766,8773
RED BLOOD CELL DISORDERS W MCC,811,69151,8634
RED BLOOD CELL DISORDERS W/O MCC,812,38238,5363
RENAL FAILURE W CC,683,47299,6833
RENAL FAILURE W MCC,682,70677,10693
RENAL FAILURE W/O CC/MCC,684,27513,4142
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,56250,9033
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,77573,14227
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,101706,16393
SEIZURES W/O MCC,101,42293,4729
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,244952,40833
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,85017,13120
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,65340,7210
SIGNS & SYMPTOMS W/O MCC,948,42642,4622
SIMPLE PNEUMONIA & PLEURISY W CC,194,49475,7023
SIMPLE PNEUMONIA & PLEURISY W MCC,193,62547,9145
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,37114,4641
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,140876,25246
SYNCOPE & COLLAPSE,312,35758,4722
TRANSIENT ISCHEMIA,069,35740,4664
