description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,61221,8514
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,114759,13508
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,44381,5704
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,45973,4940
ATHEROSCLEROSIS W/O MCC,303,35352,4184
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,60653,6876
BRONCHITIS & ASTHMA W CC/MCC,202,46816,6122
BRONCHITIS & ASTHMA W/O CC/MCC,203,28584,4377
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,46147,6116
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,77055,9267
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,31502,4520
CELLULITIS W MCC,602,67769,10884
CELLULITIS W/O MCC,603,36400,6148
CERVICAL SPINAL FUSION W/O CC/MCC,473,70270,19163
CHEST PAIN,313,31824,4177
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,48524,7190
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,68342,9244
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,41734,5225
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,87258,15166
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,56988,8083
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,50174,7618
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,55024,6760
DIABETES W CC,638,43268,5890
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,54046,7456
DYSEQUILIBRIUM,149,40795,4682
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,60595,8289
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,39587,5197
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,37989,6967
FRACTURES OF HIP & PELVIS W/O MCC,536,39216,4903
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,47962,8030
G.I. HEMORRHAGE W CC,378,53360,7302
G.I. HEMORRHAGE W MCC,377,94632,12572
G.I. HEMORRHAGE W/O CC/MCC,379,43254,5430
G.I. OBSTRUCTION W CC,389,45182,6679
G.I. OBSTRUCTION W/O CC/MCC,390,35761,4658
HEART FAILURE & SHOCK W CC,292,56896,7568
HEART FAILURE & SHOCK W MCC,291,83804,11326
HEART FAILURE & SHOCK W/O CC/MCC,293,38043,4954
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,80905,14901
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,71769,10690
HYPERTENSION W/O MCC,305,42714,4494
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,246360,42715
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,80816,8337
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,118460,15517
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,54327,5948
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,73008,8770
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,41681,5846
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,98701,21167
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,65831,9503
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,156152,24631
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,72803,14623
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,137471,19810
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,267951,38602
MEDICAL BACK PROBLEMS W/O MCC,552,49111,9888
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,59042,8147
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,34881,4917
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,47821,6795
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,111210,14963
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,49238,7577
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,60419,7476
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,78736,11351
OTHER VASCULAR PROCEDURES W CC,253,114457,17435
OTHER VASCULAR PROCEDURES W MCC,252,126499,21784
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,70427,11259
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,111877,23242
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,77048,14057
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,70280,12908
