description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,51364,6824
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,106610,12688
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,46918,6788
ATHEROSCLEROSIS W/O MCC,303,41842,4226
BRONCHITIS & ASTHMA W CC/MCC,202,54640,6255
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,56072,5538
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,83824,8258
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,39996,3846
CELLULITIS W MCC,602,84632,9552
CELLULITIS W/O MCC,603,52828,6884
CHEST PAIN,313,43641,4134
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,52710,6515
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,65230,7930
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,47158,5027
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,60398,7233
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,52651,5759
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,36996,5736
DIABETES W CC,638,58528,6568
DYSEQUILIBRIUM,149,41418,4809
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,72352,7773
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,50636,5030
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,38292,4714
G.I. HEMORRHAGE W CC,378,61269,6790
G.I. HEMORRHAGE W MCC,377,79638,12573
G.I. HEMORRHAGE W/O CC/MCC,379,38198,4782
G.I. OBSTRUCTION W CC,389,56911,6936
HEART FAILURE & SHOCK W CC,292,67178,6847
HEART FAILURE & SHOCK W MCC,291,79619,10052
HEART FAILURE & SHOCK W/O CC/MCC,293,49814,4586
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,87925,12414
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,145244,19964
HYPERTENSION W/O MCC,305,44923,4108
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,213967,36477
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,65256,7808
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,98262,12112
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,52301,5424
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,62924,7864
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,48646,5242
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,83070,11374
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,48633,7536
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,72596,8314
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,98380,14222
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,108447,16348
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,201368,32256
MEDICAL BACK PROBLEMS W/O MCC,552,50958,5475
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,69409,7451
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,44639,5165
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,54274,10598
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,44371,6555
OTHER VASCULAR PROCEDURES W CC,253,86218,16892
PERIPHERAL VASCULAR DISORDERS W CC,300,49032,6026
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,86123,17740
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,35655,4164
PULMONARY EDEMA & RESPIRATORY FAILURE,189,77367,8572
PULMONARY EMBOLISM W/O MCC,176,79592,7165
RED BLOOD CELL DISORDERS W/O MCC,812,66382,5850
RENAL FAILURE W CC,683,75252,7833
RENAL FAILURE W MCC,682,105126,11353
RENAL FAILURE W/O CC/MCC,684,40523,4408
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,79337,9422
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,95547,13340
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,114722,17979
SEIZURES W/O MCC,101,42116,5392
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,282633,40893
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,96891,12774
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,64584,7543
SIGNS & SYMPTOMS W/O MCC,948,57677,4524
SIMPLE PNEUMONIA & PLEURISY W CC,194,60671,6966
SIMPLE PNEUMONIA & PLEURISY W MCC,193,92656,9783
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,40941,5354
SYNCOPE & COLLAPSE,312,48538,5543
TRANSIENT ISCHEMIA,069,42603,5904
