description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,44994,9673
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,86006,16042
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,25392,6685
ATHEROSCLEROSIS W/O MCC,303,25524,4994
BRONCHITIS & ASTHMA W CC/MCC,202,41736,7216
BRONCHITIS & ASTHMA W/O CC/MCC,203,28465,5209
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,35686,7184
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,53116,10721
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,25491,4869
CELLULITIS W/O MCC,603,44238,7176
CHEST PAIN,313,24266,4710
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,47436,8264
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,63848,9973
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,36104,6201
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,38542,7372
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,68195,8795
DIABETES W CC,638,43670,7100
DYSEQUILIBRIUM,149,27318,5473
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,48087,9893
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,34335,6144
FRACTURES OF HIP & PELVIS W/O MCC,536,34415,6112
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,36303,6872
G.I. HEMORRHAGE W CC,378,47096,8690
G.I. HEMORRHAGE W MCC,377,83365,14739
G.I. HEMORRHAGE W/O CC/MCC,379,31484,6016
G.I. OBSTRUCTION W CC,389,45328,7828
G.I. OBSTRUCTION W/O CC/MCC,390,29454,5830
HEART FAILURE & SHOCK W CC,292,57319,9330
HEART FAILURE & SHOCK W MCC,291,81748,13776
HEART FAILURE & SHOCK W/O CC/MCC,293,27112,5828
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,70118,16041
HYPERTENSION W/O MCC,305,22081,5258
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,157721,45062
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,54441,9994
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,114832,16485
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,64283,10161
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,38452,6641
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,66367,10794
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,77277,18022
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,120765,21983
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,201606,42867
MEDICAL BACK PROBLEMS W/O MCC,552,36680,6901
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,47546,9494
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,37392,6158
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,99076,15047
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,40972,8408
OTHER VASCULAR PROCEDURES W CC,253,135602,20570
OTHER VASCULAR PROCEDURES W MCC,252,115346,26772
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,70588,13835
PERIPHERAL VASCULAR DISORDERS W CC,300,38085,8147
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,74054,21968
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,38681,5370
PULMONARY EDEMA & RESPIRATORY FAILURE,189,50611,10972
RED BLOOD CELL DISORDERS W MCC,811,84268,10745
RED BLOOD CELL DISORDERS W/O MCC,812,39058,6816
RENAL FAILURE W CC,683,58740,8703
RENAL FAILURE W MCC,682,86152,14960
RENAL FAILURE W/O CC/MCC,684,36278,5561
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,78373,12706
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,85248,16724
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,211431,50974
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,106814,18667
SEIZURES W/O MCC,101,44010,6454
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,173731,45911
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,85162,16420
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,55062,9518
SIGNS & SYMPTOMS W/O MCC,948,28211,5880
SIMPLE PNEUMONIA & PLEURISY W CC,194,54054,8520
SIMPLE PNEUMONIA & PLEURISY W MCC,193,64779,11995
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,37143,6063
SYNCOPE & COLLAPSE,312,37810,6133
TRANSIENT ISCHEMIA,069,35371,6262
