description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,125582,19596
ATHEROSCLEROSIS W/O MCC,303,21918,4613
BRONCHITIS & ASTHMA W CC/MCC,202,45279,6667
BRONCHITIS & ASTHMA W/O CC/MCC,203,30881,4745
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,40176,6622
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,48836,9708
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,25740,4945
CELLULITIS W MCC,602,67057,12915
CELLULITIS W/O MCC,603,32966,6737
CHEST PAIN,313,25002,4352
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,47164,7642
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,46490,9282
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,31365,5708
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,80444,15787
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,51670,8819
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,31870,7054
DIABETES W CC,638,36771,6574
DYSEQUILIBRIUM,149,27816,5027
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,46249,9141
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,29544,6029
FRACTURES OF HIP & PELVIS W/O MCC,536,31222,5497
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,23685,5332
G.I. HEMORRHAGE W CC,378,36010,7916
G.I. HEMORRHAGE W MCC,377,58071,13305
G.I. HEMORRHAGE W/O CC/MCC,379,25790,5568
G.I. OBSTRUCTION W CC,389,35734,7273
G.I. OBSTRUCTION W/O CC/MCC,390,21910,5010
HEART FAILURE & SHOCK W CC,292,48727,8347
HEART FAILURE & SHOCK W MCC,291,77972,12781
HEART FAILURE & SHOCK W/O CC/MCC,293,29626,5375
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,48859,14667
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,95437,27338
HYPERTENSION W/O MCC,305,21749,4858
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,145209,41982
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,54278,9098
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,86104,15365
