description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,43961,7800
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,61629,11979
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,37758,5382
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,36744,4596
ATHEROSCLEROSIS W/O MCC,303,22585,4006
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,45707,8033
BRONCHITIS & ASTHMA W CC/MCC,202,36212,5945
BRONCHITIS & ASTHMA W/O CC/MCC,203,26668,4233
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,37418,6129
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,57241,11218
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,20776,3944
CELLULITIS W/O MCC,603,25628,5843
CHEST PAIN,313,22985,3772
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,43410,6696
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,48694,8153
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,29804,5076
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,56522,7117
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,44495,6262
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,35446,6844
DIABETES W CC,638,20491,5391
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,37784,6931
DYSEQUILIBRIUM,149,27650,4440
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,50997,8171
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,32099,5072
FRACTURES OF HIP & PELVIS W/O MCC,536,24662,4937
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,26330,5156
G.I. HEMORRHAGE W CC,378,34696,6950
G.I. HEMORRHAGE W MCC,377,63008,11875
G.I. HEMORRHAGE W/O CC/MCC,379,23603,4990
G.I. OBSTRUCTION W CC,389,36021,6576
G.I. OBSTRUCTION W/O CC/MCC,390,29373,4990
HEART FAILURE & SHOCK W CC,292,36594,7019
HEART FAILURE & SHOCK W MCC,291,46736,10055
HEART FAILURE & SHOCK W/O CC/MCC,293,27008,4960
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,59687,12797
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,103815,21861
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,47813,11059
HYPERTENSION W/O MCC,305,26592,4238
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,40554,7874
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,64618,12969
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,36228,6450
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,38841,7999
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,25957,5436
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,54786,11548
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,46147,7882
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,93638,20958
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,48961,9553
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,55368,14228
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,70128,16263
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,162517,36692
MEDICAL BACK PROBLEMS W/O MCC,552,29897,5568
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,63936,10057
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,25581,4887
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,30959,6562
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,49141,12375
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,30190,6840
OTHER VASCULAR PROCEDURES W CC,253,65945,15830
OTHER VASCULAR PROCEDURES W MCC,252,115514,25064
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,62775,10946
PERIPHERAL VASCULAR DISORDERS W CC,300,35683,6892
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,72094,17565
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,60432,13701
PSYCHOSES,885,30658,6228
PULMONARY EDEMA & RESPIRATORY FAILURE,189,51573,10378
PULMONARY EMBOLISM W/O MCC,176,42976,7232
RED BLOOD CELL DISORDERS W/O MCC,812,30199,5384
RENAL FAILURE W CC,683,36967,7293
RENAL FAILURE W MCC,682,56070,12854
RENAL FAILURE W/O CC/MCC,684,26958,4598
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,37043,9185
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,70046,14004
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,87793,15836
SEIZURES W/O MCC,101,23792,5349
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,69358,14611
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,41650,7870
SIGNS & SYMPTOMS W/O MCC,948,24538,4698
SIMPLE PNEUMONIA & PLEURISY W CC,194,38313,7114
SIMPLE PNEUMONIA & PLEURISY W MCC,193,51410,10663
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,25546,4922
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,95615,25420
SYNCOPE & COLLAPSE,312,26539,4877
TRANSIENT ISCHEMIA,069,27588,4993
