description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,57673,6759
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,87530,10749
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,43743,5034
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,48899,3875
ATHEROSCLEROSIS W/O MCC,303,37757,3540
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,45626,5862
BRONCHITIS & ASTHMA W CC/MCC,202,41404,5259
BRONCHITIS & ASTHMA W/O CC/MCC,203,32555,3691
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,47135,5661
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,58631,8404
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,31223,3553
CELLULITIS W/O MCC,603,41393,5065
CHEST PAIN,313,27090,3665
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,51902,6129
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,60272,7334
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,39098,4379
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,101950,13859
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,57468,6719
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,50471,5225
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,47302,5549
DIABETES W CC,638,44132,5008
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,49356,6126
DYSEQUILIBRIUM,149,34103,3879
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,76198,7795
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,35167,4611
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,41543,6183
FRACTURES OF HIP & PELVIS W/O MCC,536,36526,4270
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,30256,4939
G.I. HEMORRHAGE W CC,378,43790,6224
G.I. HEMORRHAGE W MCC,377,58463,10335
G.I. HEMORRHAGE W/O CC/MCC,379,29780,4355
G.I. OBSTRUCTION W CC,389,45378,5833
G.I. OBSTRUCTION W/O CC/MCC,390,31813,4818
HEART FAILURE & SHOCK W CC,292,51073,6232
HEART FAILURE & SHOCK W MCC,291,79227,10348
HEART FAILURE & SHOCK W/O CC/MCC,293,34321,4403
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,66634,11212
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,53090,9292
HYPERTENSION W/O MCC,305,32137,3726
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,213274,37658
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,59903,7056
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,85991,11335
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,48324,5149
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,62692,8125
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,44180,5170
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,70352,10318
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,46396,7103
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,92121,18716
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,71512,7995
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,113007,17527
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,61576,12970
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,95514,15900
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,214992,32445
MEDICAL BACK PROBLEMS W/O MCC,552,45804,5030
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,67044,6882
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,38496,4279
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,66920,6018
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,66093,10441
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,42942,6034
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,56041,6493
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,80551,12213
OTHER VASCULAR PROCEDURES W CC,253,91695,17078
OTHER VASCULAR PROCEDURES W MCC,252,116037,18877
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,99346,12193
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,92767,10764
PERIPHERAL VASCULAR DISORDERS W CC,300,57805,6480
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,31220,5075
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,81074,15950
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,67208,12383
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,45843,3952
PULMONARY EDEMA & RESPIRATORY FAILURE,189,71304,7776
PULMONARY EMBOLISM W/O MCC,176,60869,6500
RED BLOOD CELL DISORDERS W MCC,811,62344,7922
RED BLOOD CELL DISORDERS W/O MCC,812,38302,5546
RENAL FAILURE W CC,683,54890,6109
RENAL FAILURE W MCC,682,73408,9849
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,70418,8823
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,93676,12357
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,247425,31731
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,105852,14539
SEIZURES W/O MCC,101,44109,4626
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,284845,40224
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,107214,13042
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,53145,7009
SIGNS & SYMPTOMS W/O MCC,948,32852,4142
SIMPLE PNEUMONIA & PLEURISY W CC,194,48754,6527
SIMPLE PNEUMONIA & PLEURISY W MCC,193,79156,10299
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,37762,4649
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,111919,23503
