description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,38605,8023
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,57714,13057
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,28653,6002
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,26828,4671
ATHEROSCLEROSIS W/O MCC,303,17378,3986
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,33715,6739
BRONCHITIS & ASTHMA W CC/MCC,202,32664,5954
BRONCHITIS & ASTHMA W/O CC/MCC,203,22632,4270
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,31988,5816
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,38741,8612
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,17905,4050
CELLULITIS W MCC,602,53711,10980
CELLULITIS W/O MCC,603,27831,5756
CHEST PAIN,313,16738,3883
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,39148,6581
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,42216,8202
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,29052,4906
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,69562,13624
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,38057,7829
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,33187,5866
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,29942,6285
DIABETES W CC,638,31616,6125
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,37851,6876
DYSEQUILIBRIUM,149,19123,4582
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,42966,8001
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,25394,5079
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,28731,6918
FRACTURES OF HIP & PELVIS W/O MCC,536,22959,4836
