description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,36273,7996
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,54438,12021
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,29184,12648
ATHEROSCLEROSIS W/O MCC,303,20079,3403
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19112,4895
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,37473,7826
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14254,3332
CELLULITIS W/O MCC,603,20024,4673
CERVICAL SPINAL FUSION W/O CC/MCC,473,62250,17788
CHEST PAIN,313,18537,3789
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,24361,5682
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,32448,7254
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,48768,7894
DIABETES W CC,638,17685,4808
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,35258,8153
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,25734,6210
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,26606,5945
FRACTURES OF HIP & PELVIS W/O MCC,536,17819,4968
G.I. HEMORRHAGE W CC,378,26114,6267
G.I. HEMORRHAGE W MCC,377,39580,9877
HEART FAILURE & SHOCK W CC,292,27191,6884
HEART FAILURE & SHOCK W MCC,291,40346,8668
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,42417,10426
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,79042,17545
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,153566,57065
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,32596,6744
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,56466,11469
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,27126,6976
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,19925,4567
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,37407,12748
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,87094,22481
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,34577,10914
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,48737,16752
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,60480,16966
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,116204,34902
MEDICAL BACK PROBLEMS W/O MCC,552,17981,5751
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,18604,4037
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,40135,18464
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,26568,5930
OTHER VASCULAR PROCEDURES W CC,253,51815,15538
OTHER VASCULAR PROCEDURES W MCC,252,77477,21927
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,41488,12479
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,98946,28794
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,58724,21520
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,54592,12344
PERIPHERAL VASCULAR DISORDERS W CC,300,26933,5301
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,65932,11905
PULMONARY EDEMA & RESPIRATORY FAILURE,189,48092,10432
RENAL FAILURE W CC,683,27244,6059
RENAL FAILURE W MCC,682,37824,10072
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,40669,7939
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,48774,15277
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,140222,34270
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,60162,13208
SEIZURES W/O MCC,101,21750,4362
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,147999,34747
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,47561,14763
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,31786,6520
SIMPLE PNEUMONIA & PLEURISY W CC,194,26338,7803
SIMPLE PNEUMONIA & PLEURISY W MCC,193,43057,8724
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,78938,23825
SYNCOPE & COLLAPSE,312,25771,4186
TRANSIENT ISCHEMIA,069,20052,4267
