description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,8809,5134
CHEST PAIN,313,7480,3470
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,9272,4626
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,8244,4562
HEART FAILURE & SHOCK W CC,292,9504,6714
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9441,4910
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,7586,4577
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,13612,7311
SIGNS & SYMPTOMS W/O MCC,948,9806,4236
SIMPLE PNEUMONIA & PLEURISY W CC,194,12910,6377
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9487,4549
