providerName,providerNationalID,avgCoveredCharges,averagePayments
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,75432,9270
DESERT SPRINGS HOSPITAL,290022,64565,9224
MOUNTAINVIEW HOSPITAL,290039,84814,10166
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,290053,81740,12364
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,290047,75798,11538
SPRING VALLEY HOSPITAL MEDICAL CENTER,290046,83424,10407
SUMMERLIN HOSPITAL MEDICAL CENTER,290041,89276,11639
SUNRISE HOSPITAL AND MEDICAL CENTER,290003,94363,12949
UMC OF SOUTHERN NEVADA,290007,44372,12566
VALLEY HOSPITAL MEDICAL CENTER,290021,109869,14608
