description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,58684,7776
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,92210,12893
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,39880,4620
ATHEROSCLEROSIS W/O MCC,303,29321,4438
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,44863,6631
BRONCHITIS & ASTHMA W CC/MCC,202,45954,5605
BRONCHITIS & ASTHMA W/O CC/MCC,203,33876,4006
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,41833,5659
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,78393,8815
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,28912,3807
CELLULITIS W MCC,602,103745,9167
CELLULITIS W/O MCC,603,42208,5790
CERVICAL SPINAL FUSION W/O CC/MCC,473,79686,15299
CHEST PAIN,313,32833,3719
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,54632,6842
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,65504,8041
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,37649,4820
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,120871,14654
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,67118,7233
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,46804,6774
DIABETES W CC,638,46369,5569
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,54918,6796
DYSEQUILIBRIUM,149,31529,4159
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,64114,8643
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,37660,4796
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,41627,6635
FRACTURES OF HIP & PELVIS W/O MCC,536,35125,4382
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,29758,4483
G.I. HEMORRHAGE W CC,378,51261,6730
G.I. HEMORRHAGE W MCC,377,116368,13489
G.I. HEMORRHAGE W/O CC/MCC,379,29440,4721
G.I. OBSTRUCTION W CC,389,52446,6104
G.I. OBSTRUCTION W/O CC/MCC,390,28727,4184
HEART FAILURE & SHOCK W CC,292,49517,6900
HEART FAILURE & SHOCK W MCC,291,84814,10166
HEART FAILURE & SHOCK W/O CC/MCC,293,33233,4420
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,74851,12201
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,62803,9975
HYPERTENSION W/O MCC,305,34260,4170
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,305085,55048
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,49966,7468
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,83712,12380
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,42213,5440
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,50144,7872
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,37782,5477
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,107133,11896
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,48354,8712
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,131142,22237
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,71780,8364
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,159914,23460
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,71944,14349
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,90009,16345
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,282785,38385
MEDICAL BACK PROBLEMS W/O MCC,552,28386,5128
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,58850,8114
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,33556,4419
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,44579,6115
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,122883,15008
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,42016,6454
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,41211,6247
OTHER VASCULAR PROCEDURES W CC,253,123510,16950
OTHER VASCULAR PROCEDURES W MCC,252,158658,20466
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,64477,10631
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,185062,23365
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,118318,15431
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,103768,12219
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,81958,12118
PERIPHERAL VASCULAR DISORDERS W CC,300,48866,6369
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,24980,4237
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,108888,17311
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,93178,13456
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,116837,9727
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,33038,4166
PSYCHOSES,885,43981,5944
PULMONARY EDEMA & RESPIRATORY FAILURE,189,83452,9077
PULMONARY EMBOLISM W/O MCC,176,56317,8244
RED BLOOD CELL DISORDERS W MCC,811,73834,9744
RED BLOOD CELL DISORDERS W/O MCC,812,38949,5233
RENAL FAILURE W CC,683,59745,8171
RENAL FAILURE W MCC,682,84786,11324
RENAL FAILURE W/O CC/MCC,684,36901,4502
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,81241,9182
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,108446,14250
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,231084,32231
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,121303,15732
SEIZURES W/O MCC,101,36283,5421
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,259484,37502
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,112040,13719
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,67706,7538
SIGNS & SYMPTOMS W/O MCC,948,27809,4312
