description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,29767,6878
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,38982,11263
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,23388,4764
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,19541,4630
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,38348,6264
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19299,5040
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,33825,12882
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14024,3832
CELLULITIS W/O MCC,603,27082,5762
CERVICAL SPINAL FUSION W/O CC/MCC,473,68380,12517
CHEST PAIN,313,24104,3263
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22216,5666
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,23964,6834
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16710,4654
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,25791,6482
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,21787,4398
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,45602,6310
FRACTURES OF HIP & PELVIS W/O MCC,536,18650,4247
G.I. HEMORRHAGE W CC,378,30579,6066
G.I. HEMORRHAGE W MCC,377,46185,12701
G.I. OBSTRUCTION W CC,389,18508,5516
G.I. OBSTRUCTION W/O CC/MCC,390,17379,4355
HEART FAILURE & SHOCK W CC,292,21606,5939
HEART FAILURE & SHOCK W MCC,291,38234,8582
HEART FAILURE & SHOCK W/O CC/MCC,293,16037,4006
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,60162,10992
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,108210,29792
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,29647,6652
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,42929,11679
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,24403,4715
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,30168,8541
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,18531,4565
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,49987,10212
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,90934,18416
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,33208,9176
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,60860,12318
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,67384,16094
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,103634,28660
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,26779,6530
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,17626,3975
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,46612,10638
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,37352,5900
OTHER VASCULAR PROCEDURES W CC,253,81386,14445
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,75260,12005
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,55964,11756
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,57098,10458
PERIPHERAL VASCULAR DISORDERS W CC,300,23286,5332
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,65218,15906
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,58400,12054
POISONING & TOXIC EFFECTS OF DRUGS W MCC,917,48885,11664
PULMONARY EDEMA & RESPIRATORY FAILURE,189,27807,7875
PULMONARY EMBOLISM W/O MCC,176,23390,7565
RED BLOOD CELL DISORDERS W/O MCC,812,21736,4662
RENAL FAILURE W CC,683,33758,7117
RENAL FAILURE W MCC,682,55306,10143
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,105994,28883
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,56219,13462
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,137108,33553
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,40048,11596
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,26017,6832
SIGNS & SYMPTOMS W/O MCC,948,24363,3975
SIMPLE PNEUMONIA & PLEURISY W CC,194,23022,5934
SIMPLE PNEUMONIA & PLEURISY W MCC,193,31359,8588
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,18237,4663
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,124551,24825
SYNCOPE & COLLAPSE,312,16704,4527
