description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,12988,6386
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,15444,8443
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,9228,4252
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,8286,3546
ATHEROSCLEROSIS W/O MCC,303,9142,3246
BRONCHITIS & ASTHMA W/O CC/MCC,203,8047,3774
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,10752,4509
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,11985,7550
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8291,3258
CELLULITIS W/O MCC,603,11226,4514
CHEST PAIN,313,9174,3574
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,11023,5277
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15004,6478
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,8167,4014
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,13080,4809
DIABETES W CC,638,11035,4319
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,17268,6454
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,15509,4368
FRACTURES OF HIP & PELVIS W/O MCC,536,11613,3983
G.I. HEMORRHAGE W CC,378,15804,5646
G.I. HEMORRHAGE W MCC,377,26518,10053
G.I. OBSTRUCTION W CC,389,10946,5093
G.I. OBSTRUCTION W/O CC/MCC,390,11621,3462
HEART FAILURE & SHOCK W CC,292,13672,5557
HEART FAILURE & SHOCK W MCC,291,20360,9213
HEART FAILURE & SHOCK W/O CC/MCC,293,9778,3815
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,21304,10336
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,35434,17987
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,16835,6121
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,12528,6194
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,11702,4329
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,21416,12287
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,26587,14126
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,14643,6376
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,11616,3745
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,18399,9184
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,13991,5534
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,12555,8076
PULMONARY EDEMA & RESPIRATORY FAILURE,189,17204,7224
RED BLOOD CELL DISORDERS W MCC,811,21149,6984
RED BLOOD CELL DISORDERS W/O MCC,812,14563,4430
RENAL FAILURE W CC,683,14392,5581
RENAL FAILURE W MCC,682,23634,9660
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,21518,9786
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,20975,10488
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,13258,6518
SIGNS & SYMPTOMS W/O MCC,948,10887,3995
SIMPLE PNEUMONIA & PLEURISY W CC,194,12216,5776
SIMPLE PNEUMONIA & PLEURISY W MCC,193,19704,8049
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,10852,3851
SYNCOPE & COLLAPSE,312,11541,3993
TRANSIENT ISCHEMIA,069,11859,4050
