description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,34834,9387
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,43461,14002
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,23186,6314
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,30495,5263
ATHEROSCLEROSIS W/O MCC,303,19178,4763
BRONCHITIS & ASTHMA W CC/MCC,202,26382,6883
BRONCHITIS & ASTHMA W/O CC/MCC,203,18127,4876
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,25172,6704
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,34325,9798
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,18201,4684
CELLULITIS W MCC,602,50634,12643
CELLULITIS W/O MCC,603,24401,6716
CHEST PAIN,313,17873,4480
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,25818,7743
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,29582,9395
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,19885,5941
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,53062,15932
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,27847,8925
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,23915,6911
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,23466,7272
DIABETES W CC,638,21325,7073
DYSEQUILIBRIUM,149,21723,5315
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,22683,5725
FRACTURES OF HIP & PELVIS W/O MCC,536,19840,5727
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,23702,8215
G.I. HEMORRHAGE W CC,378,35199,8185
G.I. HEMORRHAGE W MCC,377,56914,15906
G.I. HEMORRHAGE W/O CC/MCC,379,20972,5629
G.I. OBSTRUCTION W CC,389,32594,7672
G.I. OBSTRUCTION W/O CC/MCC,390,20295,5393
HEART FAILURE & SHOCK W CC,292,32574,8466
HEART FAILURE & SHOCK W MCC,291,42821,12298
HEART FAILURE & SHOCK W/O CC/MCC,293,21548,5637
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,46329,15155
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,35691,12214
HYPERTENSION W/O MCC,305,18011,4907
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,100973,43548
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,30904,8925
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,50351,15897
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,28857,6554
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,25570,9724
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,20395,6322
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,52794,13424
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,34489,9822
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,64353,23034
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,34644,10183
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,49125,17313
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,54354,20399
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,89200,42439
MEDICAL BACK PROBLEMS W/O MCC,552,28310,6695
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,29006,9108
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,19659,5542
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,41326,14248
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,31664,7986
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,31760,8041
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,36171,12847
OTHER VASCULAR PROCEDURES W CC,253,51975,19017
OTHER VASCULAR PROCEDURES W MCC,252,114080,30593
OTHER VASCULAR PROCEDURES W/O CC/MCC,254,50663,12756
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,73314,27380
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,51659,16371
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,36985,14032
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,46517,14700
PERIPHERAL VASCULAR DISORDERS W CC,300,21715,7697
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,20222,5307
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,58840,20546
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,42759,16484
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,20124,6230
PULMONARY EDEMA & RESPIRATORY FAILURE,189,32284,10222
PULMONARY EMBOLISM W/O MCC,176,30777,7913
RED BLOOD CELL DISORDERS W MCC,811,26762,11158
RED BLOOD CELL DISORDERS W/O MCC,812,21093,6328
RENAL FAILURE W CC,683,34234,8303
RENAL FAILURE W MCC,682,49425,13723
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,35566,12119
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,39921,16376
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,52884,18480
SEIZURES W/O MCC,101,19768,6195
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,44430,15158
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,31459,9079
SIGNS & SYMPTOMS W/O MCC,948,13499,5274
SIMPLE PNEUMONIA & PLEURISY W CC,194,28574,8064
SIMPLE PNEUMONIA & PLEURISY W MCC,193,40845,11588
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,18837,5845
SYNCOPE & COLLAPSE,312,21727,5762
TRANSIENT ISCHEMIA,069,22388,5898
