description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,25902,7289
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,38718,11400
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,15315,5197
ATHEROSCLEROSIS W/O MCC,303,15703,3909
BRONCHITIS & ASTHMA W CC/MCC,202,19276,5619
BRONCHITIS & ASTHMA W/O CC/MCC,203,15272,4078
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,27853,5865
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,38004,8667
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,17258,3816
CELLULITIS W/O MCC,603,27574,5812
CHEST PAIN,313,13665,3713
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,30191,6506
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,34454,7953
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,21503,4868
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,24709,6271
DIABETES W CC,638,22382,6028
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,32293,6629
DYSEQUILIBRIUM,149,17720,4259
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,21754,4825
FRACTURES OF HIP & PELVIS W/O MCC,536,16641,4484
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,25577,5469
G.I. HEMORRHAGE W CC,378,34724,6994
G.I. HEMORRHAGE W MCC,377,43592,11496
G.I. HEMORRHAGE W/O CC/MCC,379,19211,4794
G.I. OBSTRUCTION W CC,389,23981,6177
HEART FAILURE & SHOCK W CC,292,29884,6805
HEART FAILURE & SHOCK W MCC,291,44046,9954
HEART FAILURE & SHOCK W/O CC/MCC,293,19596,4546
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,42541,12655
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,32554,11554
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,74538,34116
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,34122,7822
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,51492,12549
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,29029,5485
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,40893,8529
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,21357,5267
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,37478,8534
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,40206,14281
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,51804,16755
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,90948,34116
MEDICAL BACK PROBLEMS W/O MCC,552,25974,5408
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,27611,7645
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,22300,4719
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,20367,6663
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,50243,10768
PERIPHERAL VASCULAR DISORDERS W CC,300,26150,6279
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,19015,4258
PULMONARY EDEMA & RESPIRATORY FAILURE,189,38925,8869
RED BLOOD CELL DISORDERS W MCC,811,28525,8284
RED BLOOD CELL DISORDERS W/O MCC,812,22844,5424
RENAL FAILURE W CC,683,30884,6968
RENAL FAILURE W MCC,682,43574,11298
RENAL FAILURE W/O CC/MCC,684,19616,4419
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,34331,9504
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,49582,14267
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,96437,35527
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,46752,14666
SEIZURES W/O MCC,101,20006,5148
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,115251,40394
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,46754,12937
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,30084,7647
SIGNS & SYMPTOMS W/O MCC,948,17278,5241
SIMPLE PNEUMONIA & PLEURISY W CC,194,31692,6835
SIMPLE PNEUMONIA & PLEURISY W MCC,193,40361,10109
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,21239,4781
SYNCOPE & COLLAPSE,312,17944,4799
TRANSIENT ISCHEMIA,069,23638,4989
