providerName,providerNationalID,avgCoveredCharges,averagePayments
BROOKDALE HOSPITAL MEDICAL CENTER,330233,11567,8291
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,18251,8965
CONEY ISLAND HOSPITAL,330196,11701,8210
KINGS COUNTY HOSPITAL CENTER,330202,8849,9393
KINGSBROOK JEWISH MEDICAL CENTER,330201,23445,6729
LONG ISLAND COLLEGE HOSPITAL,330152,19492,8365
LUTHERAN MEDICAL CENTER,330306,11696,8521
MAIMONIDES MEDICAL CENTER,330194,30994,8989
NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC.,330019,12068,6601
NEW YORK METHODIST HOSPITAL,330236,15209,7522
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,10466,8950
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,330396,11218,9292
WYCKOFF HEIGHTS MEDICAL CENTER,330221,19330,8154
