description,code,avgCoveredCharges,averagePayments
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,25296,8696
CELLULITIS W/O MCC,603,18261,10377
CHEST PAIN,313,15580,7041
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,29944,12579
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,25535,15222
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,29380,13552
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,20100,11676
DIABETES W CC,638,22517,10628
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,36117,14954
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,20578,9293
G.I. HEMORRHAGE W CC,378,25742,13185
G.I. HEMORRHAGE W MCC,377,45976,22157
HEART FAILURE & SHOCK W CC,292,31687,13291
HEART FAILURE & SHOCK W MCC,291,40453,18721
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,121018,67387
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,22162,10133
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,21825,14097
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,17384,8869
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,31753,22918
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,31809,12874
OTHER VASCULAR PROCEDURES W MCC,252,48091,37232
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,14261,7983
RED BLOOD CELL DISORDERS W MCC,811,40334,16290
RED BLOOD CELL DISORDERS W/O MCC,812,28579,10488
RENAL FAILURE W CC,683,28321,13137
RENAL FAILURE W MCC,682,33871,20899
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,117886,65568
SEIZURES W/O MCC,101,14979,9709
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,117738,73530
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,50286,25189
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,35560,14886
SYNCOPE & COLLAPSE,312,17051,9183
TRANSIENT ISCHEMIA,069,22614,9448
