city,avgCoveredCharges,averagePayments
ALBANY,53410,12312
BAY SHORE,46517,14700
BRONX,44308,22127
BROOKLYN,43450,20683
BUFFALO,23069,13157
FLUSHING,31709,17653
HUNTINGTON,53750,12044
MANHASSET,70700,17826
MIDDLETOWN,71575,13110
MINEOLA,107755,17334
NEW HYDE PARK,62379,20867
NEW YORK,52743,20104
OCEANSIDE,52694,12714
PLATTSBURGH,39480,14935
POUGHKEEPSIE,63481,12589
ROCHESTER,26663,12397
ROSLYN,82519,13394
SCHENECTADY,41874,11010
SMITHTOWN,74586,12146
STATEN ISLAND,69731,18211
STONY BROOK,66016,18197
SUFFERN,93932,14061
SYRACUSE,28372,12486
UTICA,28375,10625
VALHALLA,74363,20430
WEST ISLIP,50958,13286
