city,avgCoveredCharges,averagePayments
ALBANY,12860,3874
AMSTERDAM,11613,3983
AUBURN,11987,4601
BAY SHORE,19840,5727
BETHPAGE,16641,4484
BINGHAMTON,8776,4050
BRONX,29645,8942
BRONXVILLE,15990,4809
BROOKLYN,17645,8217
BUFFALO,9906,4883
CARMEL,20217,4768
COOPERSTOWN,13213,6574
EAST MEADOW,15894,8486
ELMHURST,14093,7751
ELMIRA,11392,4214
FLUSHING,18888,7243
FOREST HILLS,19059,6244
GENEVA,7126,4136
GLEN COVE,17694,5379
GLENS FALLS,9385,3757
GREENPORT,29223,5191
HUNTINGTON,23959,4781
ITHACA,8377,3910
JOHNSON CITY,11719,4733
KENMORE,8999,3812
KINGSTON,19778,5212
LONG BEACH,11538,5449
MANHASSET,29919,6859
MIDDLETOWN,24353,4744
MINEOLA,30847,6403
MOUNT KISCO,11885,4760
NEW HYDE PARK,36734,8187
NEW ROCHELLE,11643,6663
NEW YORK,26019,8009
NEWBURGH,17371,5043
NYACK,18988,5226
OCEANSIDE,17119,4916
ONEONTA,7496,4029
PATCHOGUE,34517,5573
PLAINVIEW,17593,5123
PLATTSBURGH,15439,5944
PORT JEFFERSON,22936,5018
POUGHKEEPSIE,22667,5445
RIVERHEAD,22703,5127
ROCHESTER,9363,5241
ROCKVILLE CENTR,23238,5103
ROSLYN,27854,4820
SARATOGA SPRING,17246,3795
SCHENECTADY,11034,4081
SLEEPY HOLLOW,27336,5856
SMITHTOWN,27956,4537
SOUTHAMPTON,24574,5519
STATEN ISLAND,23710,6455
STONY BROOK,35479,8150
SUFFERN,29216,5519
SYRACUSE,12895,5396
UTICA,9368,4057
VALLEY STREAM,18725,4718
WATERTOWN,15264,6520
WEST ISLIP,31853,5276
WHITE PLAINS,13998,4880
YONKERS,17965,6285
