city,avgCoveredCharges,averagePayments
ALBANY,31588,9567
AMSTERDAM,14745,6351
AUBURN,18252,7651
BATAVIA,14501,6422
BATH,7182,5184
BAY SHORE,35457,11079
BETHPAGE,33301,9148
BINGHAMTON,17612,8388
BROCKPORT,16311,5544
BRONX,29943,17026
BRONXVILLE,31339,9375
BROOKLYN,30999,16665
BUFFALO,22814,10870
CANANDAIGUA,11887,5917
CARMEL,35257,8702
CARTHAGE,14176,5971
CLIFTON SPRINGS,10151,5699
COBLESKILL,7648,6464
COOPERSTOWN,21381,12859
CORNING,13607,6247
CORTLAND,13251,7449
CORTLANDT MANOR,42594,10192
DANSVILLE,11647,6692
DUNKIRK,11000,5543
EAST MEADOW,24818,15627
ELMHURST,20573,15782
ELMIRA,20057,7848
FAR ROCKAWAY,28930,15242
FLUSHING,31077,14890
FOREST HILLS,33335,12569
GENEVA,10821,6906
GLEN COVE,30753,9546
GLENS FALLS,18939,7893
GLOVERSVILLE,20387,6630
GOUVERNEUR,9051,6754
GOWANDA,8539,5757
GREENPORT,27999,7296
HAMILTON,15346,7659
HARRIS,22928,8839
HORNELL,12504,8787
HUDSON,12776,6211
HUNTINGTON,38078,10267
ITHACA,12748,7261
JAMAICA,18281,15581
JAMESTOWN,15740,6866
JOHNSON CITY,23502,9748
KENMORE,16047,7410
KINGSTON,31865,9937
LEWISTON,10603,6584
LOCKPORT,11335,6843
LONG BEACH,28797,8879
LOWVILLE,9731,7353
MALONE,9621,6164
MANHASSET,54888,14493
MASSENA,10928,6654
MEDINA,7363,6322
MIDDLETOWN,46043,10341
MINEOLA,56302,13479
MOUNT KISCO,23839,8958
MOUNT VERNON,19404,10803
NEW HYDE PARK,51791,16623
NEW ROCHELLE,25726,13759
NEW YORK,45454,16389
NEWARK,16827,7109
NEWBURGH,39934,10887
NIAGARA FALLS,14866,8768
NORWICH,18422,7940
NYACK,43172,10362
OCEANSIDE,41462,10929
OGDENSBURG,11068,7145
OLEAN,10683,6123
ONEIDA,16645,7025
ONEONTA,10544,6166
OSWEGO,14286,6699
PATCHOGUE,58230,10359
PLAINVIEW,40135,11863
PLATTSBURGH,27268,12020
PORT JEFFERSON,42242,9652
PORT JERVIS,38425,9636
POTSDAM,11062,6957
POUGHKEEPSIE,41235,10290
RHINEBECK,27647,8135
RIVERHEAD,41096,10043
ROCHESTER,18763,10589
ROCKVILLE CENTR,39963,10635
ROME,19702,6500
ROSLYN,49015,10996
SARANAC LAKE,16321,9178
SARATOGA SPRING,24997,7132
SCHENECTADY,29731,8467
SLEEPY HOLLOW,37672,10505
SMITHTOWN,51198,9603
SOUTHAMPTON,28812,8688
SPRINGVILLE,8430,4710
STATEN ISLAND,36517,13335
STONY BROOK,49272,16479
SUFFERN,52543,11136
SYRACUSE,25970,11564
TROY,20167,7071
UTICA,23141,8593
VALHALLA,92313,22982
VALLEY STREAM,34862,9208
WARSAW,7594,8323
WARWICK,32115,6935
WATERTOWN,23765,12307
WELLSVILLE,7786,6080
WEST ISLIP,53466,11720
WHITE PLAINS,31714,10197
YONKERS,25682,13050
