description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,15913,6702
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,30256,12514
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,14773,5595
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,16608,5328
ATHEROSCLEROSIS W/O MCC,303,8417,3212
BRONCHITIS & ASTHMA W CC/MCC,202,9101,4697
BRONCHITIS & ASTHMA W/O CC/MCC,203,7733,3294
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,10842,4500
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,15340,6879
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8445,3150
CELLULITIS W MCC,602,25744,9404
CELLULITIS W/O MCC,603,12545,4569
CHEST PAIN,313,7115,3013
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,12119,5292
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,16111,6379
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,8763,3989
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,28387,11731
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,15954,5685
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,17162,6487
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,11924,4665
DIABETES W CC,638,13292,4691
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,10498,5574
DYSEQUILIBRIUM,149,8132,3470
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,20383,6718
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10308,3916
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,9888,5527
FRACTURES OF HIP & PELVIS W/O MCC,536,9385,3757
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,10797,3883
G.I. HEMORRHAGE W CC,378,15390,5629
G.I. HEMORRHAGE W MCC,377,23463,9283
G.I. HEMORRHAGE W/O CC/MCC,379,10591,3876
G.I. OBSTRUCTION W CC,389,14005,5420
G.I. OBSTRUCTION W/O CC/MCC,390,9106,3351
HEART FAILURE & SHOCK W CC,292,12688,5477
HEART FAILURE & SHOCK W MCC,291,18101,7779
HEART FAILURE & SHOCK W/O CC/MCC,293,8814,3855
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,26490,11376
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,41659,17939
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,68544,33568
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,14048,6220
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,21530,9946
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,9588,4603
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,14970,6503
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,11133,4252
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,22704,9210
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,16083,6346
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,12939,6268
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,49451,19630
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,29270,11652
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,32828,13314
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,66216,30684
MEDICAL BACK PROBLEMS W/O MCC,552,11678,4411
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,16379,6528
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9360,3716
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,11688,5028
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,29208,10030
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,10846,5520
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,11183,5146
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,20982,8355
OTHER VASCULAR PROCEDURES W CC,253,26915,13025
