description,code,avgCoveredCharges,averagePayments
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,20630,5280
BRONCHITIS & ASTHMA W/O CC/MCC,203,21468,4890
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,28985,6745
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,16609,4567
CELLULITIS W/O MCC,603,26844,6737
CHEST PAIN,313,12998,4422
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,28800,5470
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,22480,5732
FRACTURES OF HIP & PELVIS W/O MCC,536,29223,5191
G.I. HEMORRHAGE W CC,378,29722,8219
G.I. HEMORRHAGE W/O CC/MCC,379,18198,5747
HEART FAILURE & SHOCK W CC,292,33331,8119
HEART FAILURE & SHOCK W/O CC/MCC,293,16212,5368
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,41787,15142
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,28005,6289
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,54150,16920
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,26553,5562
RED BLOOD CELL DISORDERS W/O MCC,812,27130,6678
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,44436,15340
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,43769,9285
SIGNS & SYMPTOMS W/O MCC,948,28367,5521
SIMPLE PNEUMONIA & PLEURISY W CC,194,34321,7985
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,26894,5531
SYNCOPE & COLLAPSE,312,21397,5776
TRANSIENT ISCHEMIA,069,17675,5880
