description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,26371,8291
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,36453,13515
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,19596,5752
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,25239,4933
ATHEROSCLEROSIS W/O MCC,303,17580,4404
BRONCHITIS & ASTHMA W CC/MCC,202,16601,6083
BRONCHITIS & ASTHMA W/O CC/MCC,203,22204,4721
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,25412,6261
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,27914,8953
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,15467,4215
CELLULITIS W MCC,602,33528,11166
CELLULITIS W/O MCC,603,22145,6216
CHEST PAIN,313,12220,4031
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,24864,7104
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,31391,8769
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,17927,5421
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,28256,7809
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,23463,6394
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,26906,7053
DIABETES W CC,638,20007,6049
DYSEQUILIBRIUM,149,18986,4712
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,25217,8521
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,17414,5277
FRACTURES OF HIP & PELVIS W/O MCC,536,19778,5212
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,17462,5219
G.I. HEMORRHAGE W CC,378,29858,7635
G.I. HEMORRHAGE W MCC,377,57786,14114
G.I. HEMORRHAGE W/O CC/MCC,379,17994,5275
G.I. OBSTRUCTION W CC,389,22860,7211
G.I. OBSTRUCTION W/O CC/MCC,390,14269,4722
HEART FAILURE & SHOCK W CC,292,29633,7580
HEART FAILURE & SHOCK W MCC,291,37014,10831
HEART FAILURE & SHOCK W/O CC/MCC,293,17348,5049
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,38372,13462
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,37814,11554
HYPERTENSION W/O MCC,305,17014,4545
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,157431,49801
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,31282,8428
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,51046,13737
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,22789,6047
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,29417,8958
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,21079,5833
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,40554,12460
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,25005,8632
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,18580,9501
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,38542,15316
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,48566,18807
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,109143,39952
MEDICAL BACK PROBLEMS W/O MCC,552,22373,6076
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,31660,8613
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,19356,5075
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,45186,13686
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,21372,7301
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,25314,8060
PERIPHERAL VASCULAR DISORDERS W CC,300,25814,7111
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,301,16283,4768
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,48891,19028
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,42428,15805
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,16724,4677
PULMONARY EDEMA & RESPIRATORY FAILURE,189,24390,8940
PULMONARY EMBOLISM W/O MCC,176,27643,7560
RED BLOOD CELL DISORDERS W MCC,811,56508,13852
RED BLOOD CELL DISORDERS W/O MCC,812,26084,6036
RENAL FAILURE W CC,683,32474,7561
RENAL FAILURE W MCC,682,50127,12649
RENAL FAILURE W/O CC/MCC,684,24170,4982
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,41628,10989
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,79470,37045
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,48487,16257
SEIZURES W/O MCC,101,20793,5610
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,76868,40825
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,45238,14538
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,44617,11635
SIGNS & SYMPTOMS W/O MCC,948,16758,5011
SIMPLE PNEUMONIA & PLEURISY W CC,194,29073,7594
SIMPLE PNEUMONIA & PLEURISY W MCC,193,39186,10857
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,19859,5184
SYNCOPE & COLLAPSE,312,17395,5263
TRANSIENT ISCHEMIA,069,20820,5363
