description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,7952,6362
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,13565,10505
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,4755,4829
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,5785,4035
ATHEROSCLEROSIS W/O MCC,303,6559,3623
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,7823,5041
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,10906,6952
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,7256,3598
CELLULITIS W/O MCC,603,7903,5209
CHEST PAIN,313,5974,3418
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,9760,6052
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,11233,7217
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,7572,4469
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,9501,7176
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,8102,4538
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,19445,7921
G.I. HEMORRHAGE W CC,378,9365,6368
G.I. OBSTRUCTION W CC,389,9588,7469
G.I. OBSTRUCTION W/O CC/MCC,390,8088,4021
HEART FAILURE & SHOCK W CC,292,11242,6243
HEART FAILURE & SHOCK W MCC,291,10817,9115
HEART FAILURE & SHOCK W/O CC/MCC,293,9239,4316
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,21185,9443
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,17084,7255
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,8851,5274
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,7950,4891
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,24492,13168
MEDICAL BACK PROBLEMS W/O MCC,552,7294,4872
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8133,4301
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,16140,11281
PULMONARY EDEMA & RESPIRATORY FAILURE,189,13676,7963
RED BLOOD CELL DISORDERS W/O MCC,812,8087,4948
RENAL FAILURE W CC,683,7924,6367
RENAL FAILURE W MCC,682,16848,9677
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,16755,13016
SEIZURES W/O MCC,101,5771,4739
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,15396,11641
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,10370,7164
SIMPLE PNEUMONIA & PLEURISY W CC,194,10642,6294
SIMPLE PNEUMONIA & PLEURISY W MCC,193,12550,8885
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,7522,4394
SYNCOPE & COLLAPSE,312,8984,4509
TRANSIENT ISCHEMIA,069,7853,4546
