providerName,providerNationalID,avgCoveredCharges,averagePayments
BELLEVUE HOSPITAL CENTER,330204,25206,14582
BETH ISRAEL MEDICAL CENTER,330169,44720,12336
HARLEM HOSPITAL CENTER,330240,26603,15478
LENOX HILL HOSPITAL,330119,51703,9557
METROPOLITAN HOSPITAL CENTER,330199,17438,14822
MOUNT SINAI HOSPITAL,330024,31993,12695
NEW YORK DOWNTOWN HOSPITAL,330064,21420,12698
NEW YORK-PRESBYTERIAN HOSPITAL,330101,43840,13247
NYU HOSPITALS CENTER,330214,39957,10075
ST LUKE'S ROOSEVELT HOSPITAL,330046,40691,12216
