description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,32832,22666
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,12191,9818
BRONCHITIS & ASTHMA W CC/MCC,202,12864,11940
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9004,8007
CELLULITIS W/O MCC,603,10264,10241
CHEST PAIN,313,6232,7590
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,12958,13522
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,30763,17930
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,8095,9568
DIABETES W CC,638,16022,11989
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,9481,9928
G.I. HEMORRHAGE W CC,378,15326,14551
G.I. HEMORRHAGE W/O CC/MCC,379,12378,10187
HEART FAILURE & SHOCK W CC,292,26603,15478
HEART FAILURE & SHOCK W MCC,291,26507,21178
HEART FAILURE & SHOCK W/O CC/MCC,293,12029,9785
HYPERTENSION W/O MCC,305,8890,8542
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,25168,16632
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,14078,11358
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12211,9468
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,21898,25280
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,7923,8657
RED BLOOD CELL DISORDERS W/O MCC,812,12602,11308
RENAL FAILURE W CC,683,18686,14758
RENAL FAILURE W MCC,682,17690,22781
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,26752,29571
SEIZURES W/O MCC,101,11526,10240
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,25933,26823
SIGNS & SYMPTOMS W/O MCC,948,12425,9626
SIMPLE PNEUMONIA & PLEURISY W CC,194,16333,13893
SIMPLE PNEUMONIA & PLEURISY W MCC,193,21672,20728
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9974,9634
SYNCOPE & COLLAPSE,312,10036,9957
