description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,8616,3702
CELLULITIS W/O MCC,603,12090,5424
CHEST PAIN,313,9353,3592
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,15407,6415
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,16206,7623
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11742,4711
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,11925,4686
G.I. HEMORRHAGE W CC,378,19809,6834
HEART FAILURE & SHOCK W CC,292,14907,6687
HEART FAILURE & SHOCK W MCC,291,21669,9750
HEART FAILURE & SHOCK W/O CC/MCC,293,9947,4387
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,11736,5093
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,14160,8387
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,38721,13996
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,30711,15046
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9815,4555
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,15010,6480
PULMONARY EDEMA & RESPIRATORY FAILURE,189,21564,8275
RED BLOOD CELL DISORDERS W/O MCC,812,12224,5190
RENAL FAILURE W CC,683,17582,6541
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,29481,12305
SIMPLE PNEUMONIA & PLEURISY W CC,194,14767,6630
SIMPLE PNEUMONIA & PLEURISY W MCC,193,24754,10046
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13342,4638
SYNCOPE & COLLAPSE,312,10583,4638
