description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,34060,9984
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,12354,3882
BRONCHITIS & ASTHMA W CC/MCC,202,17892,4940
BRONCHITIS & ASTHMA W/O CC/MCC,203,13418,3569
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,17366,4920
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,39459,10555
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,13432,3350
CELLULITIS W/O MCC,603,16014,4914
CERVICAL SPINAL FUSION W/O CC/MCC,473,16322,11823
CHEST PAIN,313,10946,3226
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,22609,5714
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,32051,7421
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,16876,4464
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,17862,6380
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,17349,5329
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,22491,6632
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16794,4227
G.I. HEMORRHAGE W CC,378,23460,6095
G.I. HEMORRHAGE W MCC,377,30916,10291
G.I. OBSTRUCTION W CC,389,22035,5259
G.I. OBSTRUCTION W/O CC/MCC,390,14879,3736
HEART FAILURE & SHOCK W CC,292,23143,6455
HEART FAILURE & SHOCK W MCC,291,25809,8765
HEART FAILURE & SHOCK W/O CC/MCC,293,14538,3990
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,31083,11068
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,26977,6843
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,21169,7078
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13640,4514
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,31510,7759
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,25332,12398
MEDICAL BACK PROBLEMS W/O MCC,552,16604,4812
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,26281,6687
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14173,4074
PERIPHERAL VASCULAR DISORDERS W CC,300,13920,5619
PULMONARY EDEMA & RESPIRATORY FAILURE,189,25321,7366
RENAL FAILURE W CC,683,20672,5808
RENAL FAILURE W MCC,682,33992,9637
RENAL FAILURE W/O CC/MCC,684,13910,3863
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,32087,8561
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,45263,12462
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,36506,11432
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,21306,6723
SIGNS & SYMPTOMS W/O MCC,948,12065,4027
SIMPLE PNEUMONIA & PLEURISY W CC,194,20775,5945
SIMPLE PNEUMONIA & PLEURISY W MCC,193,26359,8480
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13942,4231
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,34203,23050
SYNCOPE & COLLAPSE,312,13371,4207
TRANSIENT ISCHEMIA,069,18564,4288
