description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,4356,6131
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,8833,7155
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,11204,9509
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,6700,5284
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,4991,5250
HEART FAILURE & SHOCK W CC,292,6828,7399
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,6224,8827
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,5095,5756
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,17724,15399
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,6879,10896
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,8886,13960
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,5420,8326
SIMPLE PNEUMONIA & PLEURISY W CC,194,6849,7379
SYNCOPE & COLLAPSE,312,6324,5249
