description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,28179,6177
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,32865,8740
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,17921,4452
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,24033,6545
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,15650,3028
CELLULITIS W/O MCC,603,14601,4453
CHEST PAIN,313,11227,2916
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,24857,5168
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,28202,6442
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18180,3872
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,50560,10853
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,32234,5900
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,19265,3810
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,16377,3799
G.I. HEMORRHAGE W CC,378,20915,5383
G.I. HEMORRHAGE W MCC,377,34242,9483
G.I. OBSTRUCTION W CC,389,21398,5845
HEART FAILURE & SHOCK W CC,292,20490,5470
HEART FAILURE & SHOCK W MCC,291,27049,7654
HEART FAILURE & SHOCK W/O CC/MCC,293,14435,3637
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,36033,9783
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,25498,5977
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,20419,4245
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,26787,6341
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,16141,4144
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,418,47891,8977
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,419,28709,6271
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,36108,11274
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,46888,13816
MEDICAL BACK PROBLEMS W/O MCC,552,17863,4243
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,17503,5985
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,16563,3769
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,31019,8990
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,20503,5312
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,23462,8015
PERIPHERAL VASCULAR DISORDERS W CC,300,14704,5107
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,60906,14737
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,244,43366,10810
PULMONARY EDEMA & RESPIRATORY FAILURE,189,24947,6611
RED BLOOD CELL DISORDERS W/O MCC,812,24469,4677
RENAL FAILURE W CC,683,20373,5433
RENAL FAILURE W MCC,682,33012,8577
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,26931,7447
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,36082,10579
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,84775,24626
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,36247,11234
SEIZURES W/O MCC,101,13063,4040
SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,870,94001,27793
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,32453,9649
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,21263,5971
SIMPLE PNEUMONIA & PLEURISY W CC,194,22317,5233
SIMPLE PNEUMONIA & PLEURISY W MCC,193,28187,7582
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,12594,3758
SYNCOPE & COLLAPSE,312,18726,3756
TRANSIENT ISCHEMIA,069,21270,3881
