city,avgCoveredCharges,averagePayments
AKRON,60829,11731
CANTON,26036,10734
CHILLICOTHE,45978,11657
CINCINNATI,45003,12509
CLEVELAND,58090,12140
COLUMBUS,49855,12585
CONCORD,49313,9332
DAYTON,83970,11561
ELYRIA,29187,9746
FAIRFIELD,41135,9932
FINDLAY,46083,11156
FRANKLIN,66268,10152
KETTERING,57882,11604
LANCASTER,47248,10715
LIMA,49393,10578
LORAIN,45881,10229
MARION,42883,10878
MASSILLON,67575,10057
MAUMEE,32983,9715
MAYFIELD HEIGHT,47692,9818
MIDDLEBURG HEIG,48694,9564
NEWARK,42580,13421
PARMA,39239,9339
PORTSMOUTH,49704,12694
SANDUSKY,47005,10136
SPRINGFIELD,39144,12124
TOLEDO,70665,13403
WESTLAKE,40648,10477
YOUNGSTOWN,52372,11127
ZANESVILLE,44971,12406
