city,avgCoveredCharges,averagePayments
AKRON,38970,10156
ALLIANCE,15349,7701
AMHERST,12452,5842
ASHLAND,10245,6477
ASHTABULA,18523,7252
ATHENS,16598,10763
BARBERTON,39587,8320
BATAVIA,18251,7523
BEACHWOOD,22567,5401
BEDFORD,25264,6441
BELLAIRE,10489,4856
BELLEFONTAINE,13636,8884
BELLEVUE,14773,5384
BOARDMAN,24360,7006
BOWLING GREEN,13274,6079
BRYAN,15191,7531
CAMBRIDGE,13292,7628
CANTON,16861,8860
CHARDON,28250,7314
CHILLICOTHE,23880,9389
CINCINNATI,30312,10042
CIRCLEVILLE,16164,7349
CLEVELAND,34942,11692
COLDWATER,13120,5710
COLUMBUS,35864,11078
CONCORD,30993,7855
COSHOCTON,12282,7107
CUYAHOGA FALLS,37603,7682
DAYTON,49706,10341
DEFIANCE,14213,5154
DELAWARE,19653,7522
DOVER,9830,6104
DUBLIN,22991,6803
EAST LIVERPOOL,11143,5768
ELYRIA,20040,7867
EUCLID,23620,6854
FAIRFIELD,26552,8610
FINDLAY,19425,7820
FRANKLIN,44236,9174
FREMONT,17833,5719
GALLIPOLIS,18664,7403
GARFIELD HEIGHT,31348,7073
GEORGETOWN,14460,7084
GREENVILLE,14524,6592
HAMILTON,31037,8210
KETTERING,35631,9236
LAKEWOOD,31455,7478
LANCASTER,18955,7789
LIMA,30616,8384
LONDON,17227,8150
LORAIN,25703,8414
MANSFIELD,21785,7914
MARIETTA,22219,6989
MARION,18922,7260
MARTINS FERRY,19601,6352
MARYSVILLE,16716,7624
MASSILLON,24433,6461
MAUMEE,22614,8057
MAYFIELD HEIGHT,29818,8220
MEDINA,23555,7634
MIAMISBURG,28125,7017
MIDDLEBURG HEIG,32910,7839
MILLERSBURG,13171,7203
MOUNT VERNON,18036,7394
NEW ALBANY,33315,14010
NEWARK,16920,8407
NORWALK,15808,5840
OREGON,34969,7795
OXFORD,14164,6293
PARMA,19180,7680
PORTSMOUTH,28068,9893
RAVENNA,20182,6429
RICHMOND HEIGHT,20492,7992
SAINT MARYS,13185,6504
SALEM,15673,6896
SANDUSKY,25663,8537
SIDNEY,13611,5502
SPRINGFIELD,26020,9285
STEUBENVILLE,16775,7563
SYLVANIA,38381,8166
TIFFIN,14933,6394
TOLEDO,44682,11332
TROY,32594,7587
VAN WERT,16283,8974
WADSWORTH,22186,5292
WARREN,32482,7714
WARRENSVILLE HE,27486,8663
WEST CHESTER,28944,7423
WESTERVILLE,20501,8872
WESTLAKE,24967,8956
WILMINGTON,10105,7705
WOOSTER,7717,5766
XENIA,27155,7222
YOUNGSTOWN,33393,9266
ZANESVILLE,21499,8932
