description,code,avgCoveredCharges,averagePayments
BRONCHITIS & ASTHMA W CC/MCC,202,9505,5129
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,11256,5010
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,10173,3550
CELLULITIS W/O MCC,603,12306,5072
CHEST PAIN,313,9371,3763
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,13090,6393
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,16420,7009
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11143,4978
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10638,4514
G.I. HEMORRHAGE W CC,378,13204,6051
G.I. OBSTRUCTION W CC,389,8064,5676
G.I. OBSTRUCTION W/O CC/MCC,390,10297,3835
HEART FAILURE & SHOCK W CC,292,12666,6216
HEART FAILURE & SHOCK W MCC,291,18317,9041
HEART FAILURE & SHOCK W/O CC/MCC,293,9818,4810
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,22378,12126
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,10395,4791
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,27859,13864
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9025,4346
RED BLOOD CELL DISORDERS W/O MCC,812,10018,4972
RENAL FAILURE W CC,683,14155,6331
RENAL FAILURE W MCC,682,16035,9486
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,22635,9343
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,29534,12116
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,16816,6695
SIMPLE PNEUMONIA & PLEURISY W CC,194,18322,6594
SIMPLE PNEUMONIA & PLEURISY W MCC,193,21063,8465
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,12174,4410
