description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,17041,4830
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,30182,7067
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,11730,3284
CELLULITIS W/O MCC,603,14450,4785
CHEST PAIN,313,12486,3066
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,16784,5523
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,21791,6699
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,15259,4173
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,25439,6020
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,16584,4156
G.I. HEMORRHAGE W CC,378,24750,5885
G.I. HEMORRHAGE W MCC,377,25208,9806
HEART FAILURE & SHOCK W CC,292,21009,7096
HEART FAILURE & SHOCK W MCC,291,28348,8796
HEART FAILURE & SHOCK W/O CC/MCC,293,14257,3877
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,39292,10058
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,20809,6469
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13854,4444
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,44320,12280
MEDICAL BACK PROBLEMS W/O MCC,552,15722,4750
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,12957,3923
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,81750,13066
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,67575,10057
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,11729,3516
PULMONARY EDEMA & RESPIRATORY FAILURE,189,25584,7546
RED BLOOD CELL DISORDERS W/O MCC,812,20402,4561
RENAL FAILURE W CC,683,16066,5683
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,39898,12824
SEIZURES W/O MCC,101,15107,4253
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,39711,11073
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,22477,6275
SIMPLE PNEUMONIA & PLEURISY W CC,194,16901,5793
SIMPLE PNEUMONIA & PLEURISY W MCC,193,29551,8613
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,13589,4057
SYNCOPE & COLLAPSE,312,18779,4122
TRANSIENT ISCHEMIA,069,18205,4158
