description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,22895,9772
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,13531,4354
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,5453,3628
BRONCHITIS & ASTHMA W CC/MCC,202,13539,4854
BRONCHITIS & ASTHMA W/O CC/MCC,203,7965,3432
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,9568,4629
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,16268,6948
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,7266,3320
CELLULITIS W MCC,602,17967,8220
CELLULITIS W/O MCC,603,9436,4748
CHEST PAIN,313,9335,3084
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,12817,5525
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,13228,6621
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,9421,4104
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,18149,5943
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,10420,4842
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,9788,4920
DIABETES W CC,638,9477,4666
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,12735,5429
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,23400,6679
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10491,4203
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,19496,5665
FRACTURES OF HIP & PELVIS W/O MCC,536,5667,3813
G.I. HEMORRHAGE W CC,378,12755,5724
G.I. HEMORRHAGE W MCC,377,17207,9684
G.I. OBSTRUCTION W CC,389,10158,5172
HEART FAILURE & SHOCK W CC,292,12577,5697
HEART FAILURE & SHOCK W MCC,291,17147,8128
HEART FAILURE & SHOCK W/O CC/MCC,293,8595,3824
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,19349,9842
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,16903,8399
HYPERTENSION W/O MCC,305,8395,3438
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,46714,27958
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,13748,6209
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,16137,10157
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,10146,4506
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,13079,6452
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9426,4278
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,11333,7078
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,28261,11334
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,30756,14949
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,49290,26489
MEDICAL BACK PROBLEMS W/O MCC,552,10502,4470
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,12807,6390
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,9180,3982
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,11165,5209
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,20247,10018
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,9904,5521
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,699,16518,5416
OTHER VASCULAR PROCEDURES W CC,253,31377,12844
OTHER VASCULAR PROCEDURES W MCC,252,27471,16242
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,246,51315,17699
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,35252,11041
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,251,30270,9750
PERIPHERAL VASCULAR DISORDERS W CC,300,10308,4957
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,33678,14377
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,6841,3522
PULMONARY EDEMA & RESPIRATORY FAILURE,189,13885,7163
RED BLOOD CELL DISORDERS W MCC,811,19147,7375
RED BLOOD CELL DISORDERS W/O MCC,812,8827,4417
RENAL FAILURE W CC,683,12818,5737
RENAL FAILURE W MCC,682,22057,9087
RENAL FAILURE W/O CC/MCC,684,7257,3869
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,21106,10985
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,51189,25351
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,28401,12102
SEIZURES W/O MCC,101,8633,4196
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,21573,10438
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,15785,6459
SIGNS & SYMPTOMS W/O MCC,948,9326,3882
SIMPLE PNEUMONIA & PLEURISY W CC,194,11947,5685
SIMPLE PNEUMONIA & PLEURISY W MCC,193,17476,8087
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,11100,4120
SYNCOPE & COLLAPSE,312,10283,4045
TRANSIENT ISCHEMIA,069,10176,4091
