description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,26707,5988
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,40250,8525
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,36128,5794
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,19356,4879
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,22471,6441
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,14081,2899
CELLULITIS W/O MCC,603,14476,4281
CERVICAL SPINAL FUSION W/O CC/MCC,473,52673,12684
CHEST PAIN,313,14404,2899
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,17756,5064
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,19278,5983
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,35474,5172
DIABETES W CC,638,23181,5516
DYSEQUILIBRIUM,149,17625,3237
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14639,3747
G.I. HEMORRHAGE W CC,378,19151,5282
G.I. HEMORRHAGE W MCC,377,38264,9378
HEART FAILURE & SHOCK W CC,292,18214,5325
HEART FAILURE & SHOCK W MCC,291,28474,8080
HEART FAILURE & SHOCK W/O CC/MCC,293,11332,3437
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,39183,9585
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,24284,5956
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,33631,9351
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,19227,4218
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,17691,6078
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13167,3977
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,51425,11052
MEDICAL BACK PROBLEMS W/O MCC,552,17659,4348
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,19174,6015
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14763,3518
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,30565,9587
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,19628,5288
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,69813,16153
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,66963,16089
PULMONARY EDEMA & RESPIRATORY FAILURE,189,28634,6620
RED BLOOD CELL DISORDERS W/O MCC,812,20534,4368
RENAL FAILURE W CC,683,16059,5419
RENAL FAILURE W MCC,682,33020,9385
RENAL FAILURE W/O CC/MCC,684,11221,3300
RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,177,32716,10031
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,207,92444,29692
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,39518,10390
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,20403,5883
SIGNS & SYMPTOMS W/O MCC,948,15547,3347
SIMPLE PNEUMONIA & PLEURISY W CC,194,19024,4920
SIMPLE PNEUMONIA & PLEURISY W MCC,193,28914,7922
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,105655,28446
SYNCOPE & COLLAPSE,312,16657,3998
TRANSIENT ISCHEMIA,069,16820,4200
