city,avgCoveredCharges,averagePayments
ADA,17435,8636
ALTUS,20913,8495
ARDMORE,28489,9083
BARTLESVILLE,18264,8208
CHICKASHA,18520,9224
CLAREMORE,29667,8939
CLINTON,18310,8999
CUSHING,20754,8880
DUNCAN,20655,7852
DURANT,43051,9204
ELK CITY,32226,7791
ENID,45941,8551
FREDERICK,11304,9381
GROVE,21443,7948
HOBART,10086,9197
HOLLIS,9670,8773
HUGO,15315,8900
IDABEL,13802,8470
LAWTON,24578,8770
MCALESTER,27416,7889
MIAMI,24454,8222
MIDWEST CITY,63967,8267
MUSKOGEE,25239,9706
NORMAN,44444,8573
OKLAHOMA CITY,36283,9399
OKMULGEE,10179,9476
PONCA CITY,34784,8147
POTEAU,24676,8463
PRYOR,12647,10148
SHAWNEE,21238,8758
STILLWATER,16892,8058
TAHLEQUAH,21004,8303
TULSA,30400,9617
VINITA,17022,8573
YUKON,49390,8528
