city,avgCoveredCharges,averagePayments
ADA,18593,8987
ALTUS,19974,7893
ALVA,8641,6693
ANTLERS,6530,4682
ARDMORE,27086,8457
BARTLESVILLE,21435,8673
BLACKWELL,18386,7246
BRISTOW,12470,5057
BROKEN ARROW,31778,7916
CHICKASHA,14990,7201
CLAREMORE,22044,5802
CLINTON,14991,6964
CUSHING,16187,5897
DUNCAN,20959,6589
DURANT,37059,6895
EDMOND,82418,20097
EL RENO,17539,4647
ELK CITY,27679,6696
ENID,36697,7558
FREDERICK,9109,7720
GROVE,17122,5888
GUYMON,13306,6645
HENRYETTA,10321,4968
HOBART,15064,8155
HOLLIS,8267,7525
HUGO,9355,5183
IDABEL,8866,5395
LAWTON,27620,8725
MCALESTER,22898,7825
MIAMI,16639,5960
MIDWEST CITY,50868,7011
MUSKOGEE,23147,8182
NORMAN,39249,7647
OKLAHOMA CITY,40752,10098
OKMULGEE,8591,5794
OWASSO,17222,5464
PAULS VALLEY,12115,5986
PERRY,10254,6064
PONCA CITY,22233,6425
POTEAU,12866,5215
PRYOR,12802,6860
PURCELL,6273,6145
SALLISAW,6337,6458
SAYRE,9434,5171
SEMINOLE,11017,4695
SHATTUCK,10325,5911
SHAWNEE,14592,6434
STILLWATER,18735,7771
STILWELL,6430,5099
TAHLEQUAH,16057,7516
TALIHINA,10255,7329
TULSA,29499,9431
VINITA,10794,5313
WAGONER,7248,6467
WILBURTON,4454,4782
WOODWARD,22638,5977
YUKON,37441,6714
