description,code,avgCoveredCharges,averagePayments
BRONCHITIS & ASTHMA W CC/MCC,202,9335,4913
CELLULITIS W/O MCC,603,6116,4911
CHEST PAIN,313,7103,3347
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,10803,5894
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,10564,7017
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,9206,4387
DIABETES W CC,638,8827,5070
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,7117,4362
HEART FAILURE & SHOCK W CC,292,12674,6230
HEART FAILURE & SHOCK W MCC,291,15315,8900
HEART FAILURE & SHOCK W/O CC/MCC,293,10548,4133
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,7487,4765
MEDICAL BACK PROBLEMS W/O MCC,552,7355,4992
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,9157,6634
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,7405,4136
RED BLOOD CELL DISORDERS W/O MCC,812,8843,4760
RENAL FAILURE W CC,683,8530,5978
SEIZURES W/O MCC,101,5293,4614
SIGNS & SYMPTOMS W/O MCC,948,6955,4028
SIMPLE PNEUMONIA & PLEURISY W CC,194,13537,6122
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,11232,4366
SYNCOPE & COLLAPSE,312,7976,4351
