providerName,providerNationalID,avgCoveredCharges,averagePayments
COMMUNITY HOSPITAL,370203,51616,10985
DEACONESS HOSPITAL,370032,57082,11856
INTEGRIS BAPTIST MEDICAL CENTER,370028,77755,15032
INTEGRIS SOUTHWEST MEDICAL CENTER,370106,78072,12794
MCBRIDE CLINIC ORTHOPEDIC HOSPITAL  L L C,370222,32270,11265
MERCY HEALTH CENTER INC,370013,39462,11723
NORTHWEST SURGICAL HOSPITAL,370192,49985,10749
O U MEDICAL CENTER,370093,76525,18189
OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SP,370212,28195,10922
ST ANTHONY HOSPITAL,370037,34454,15917
SURGICAL HOSPITAL OF OKLAHOMA,370201,51604,13519
