description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,37916,7246
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,49898,12201
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,19420,4887
BRONCHITIS & ASTHMA W CC/MCC,202,20298,5174
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,25002,5178
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,36951,8487
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,16674,3513
CELLULITIS W/O MCC,603,25986,5119
CHEST PAIN,313,18281,3379
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,27922,6229
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,33218,7963
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,21567,4484
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,286,83929,12705
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,42649,7037
CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,074,39468,5993
DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,057,44406,5372
DIABETES W CC,638,24444,5188
DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,439,30798,6244
DYSEQUILIBRIUM,149,24699,4106
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,43317,7490
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,26297,4743
FRACTURES OF HIP & PELVIS W/O MCC,536,20768,4396
G.I. HEMORRHAGE W CC,378,29370,6335
G.I. HEMORRHAGE W MCC,377,60644,11524
G.I. HEMORRHAGE W/O CC/MCC,379,20640,4395
G.I. OBSTRUCTION W CC,389,31336,5918
G.I. OBSTRUCTION W/O CC/MCC,390,22030,4392
HEART FAILURE & SHOCK W CC,292,26607,6294
HEART FAILURE & SHOCK W MCC,291,43874,9291
HEART FAILURE & SHOCK W/O CC/MCC,293,16352,4141
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,71359,12393
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,480,108170,19592
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,165278,34902
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,29116,7236
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,71833,12444
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,22477,5284
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,31477,7489
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,22980,4916
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,32472,8037
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,469,118159,19924
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,78072,12794
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,79328,15596
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,329,202610,34999
MEDICAL BACK PROBLEMS W/O MCC,552,23306,4827
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,32088,7091
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,25619,4273
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,315,26638,5925
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,314,70879,12546
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,34171,6477
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,37716,9704
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,113006,11990
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,249,84744,11286
PERIPHERAL VASCULAR DISORDERS W CC,300,27190,6037
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,243,79404,19021
