description,code,avgCoveredCharges,averagePayments
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,8428,6533
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,7719,4685
HEART FAILURE & SHOCK W CC,292,9038,6598
HEART FAILURE & SHOCK W MCC,291,10179,9476
HEART FAILURE & SHOCK W/O CC/MCC,293,7890,4581
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,9540,5353
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,6143,4663
SIGNS & SYMPTOMS W/O MCC,948,6931,4526
SIMPLE PNEUMONIA & PLEURISY W CC,194,10959,6646
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,10144,4788
