description,code,avgCoveredCharges,averagePayments
ATHEROSCLEROSIS W/O MCC,303,7198,3372
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,17339,7137
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,7482,3302
CELLULITIS W/O MCC,603,12533,4834
CHEST PAIN,313,6499,3180
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,13874,5568
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,20419,6743
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,10779,4167
DIABETES W CC,638,9590,4777
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,9601,4148
G.I. HEMORRHAGE W CC,378,12825,5993
HEART FAILURE & SHOCK W CC,292,13523,5893
HEART FAILURE & SHOCK W MCC,291,24676,8463
HEART FAILURE & SHOCK W/O CC/MCC,293,8238,3964
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,18752,7047
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,11314,4525
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8359,3975
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,6928,3626
PULMONARY EDEMA & RESPIRATORY FAILURE,189,17306,7408
RED BLOOD CELL DISORDERS W/O MCC,812,7965,4602
RENAL FAILURE W CC,683,14020,5857
RENAL FAILURE W MCC,682,32365,9464
RENAL FAILURE W/O CC/MCC,684,7680,3810
SIGNS & SYMPTOMS W/O MCC,948,6002,3971
SIMPLE PNEUMONIA & PLEURISY W CC,194,15061,5862
SIMPLE PNEUMONIA & PLEURISY W MCC,193,23457,8459
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,9159,4326
TRANSIENT ISCHEMIA,069,8717,4228
