description,code,avgCoveredCharges,averagePayments
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,5817,5942
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,6416,7378
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,5996,4671
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,5360,4440
HEART FAILURE & SHOCK W/O CC/MCC,293,7609,4370
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,5079,4801
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,4271,4239
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,8455,11845
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,6263,6780
SIMPLE PNEUMONIA & PLEURISY W CC,194,5789,5643
SIMPLE PNEUMONIA & PLEURISY W MCC,193,6988,7765
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,7469,4491
