description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,281,26450,6516
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,24680,10506
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,282,20806,4935
ATHEROSCLEROSIS W/O MCC,303,6254,3492
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,10961,5032
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,7449,3420
CELLULITIS W/O MCC,603,7953,4977
CHEST PAIN,313,6259,3300
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,12706,5684
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,15445,6977
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11381,4307
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,22222,6686
DIABETES W CC,638,8839,4922
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,7661,4340
G.I. HEMORRHAGE W CC,378,12117,5964
G.I. HEMORRHAGE W/O CC/MCC,379,12537,4282
G.I. OBSTRUCTION W CC,389,10629,5605
G.I. OBSTRUCTION W/O CC/MCC,390,7863,3760
HEART FAILURE & SHOCK W CC,292,12883,5946
HEART FAILURE & SHOCK W MCC,291,21238,8758
HEART FAILURE & SHOCK W/O CC/MCC,293,9458,4104
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,26661,10755
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,16399,8907
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,12739,6478
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,12468,4911
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,7626,4617
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,372,14863,7277
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,31522,12811
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,330,29052,14685
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8057,4131
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,8913,3728
PULMONARY EDEMA & RESPIRATORY FAILURE,189,19136,7680
RED BLOOD CELL DISORDERS W/O MCC,812,6613,4734
RENAL FAILURE W CC,683,12128,6084
RENAL FAILURE W MCC,682,18988,9322
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,29376,13392
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,22533,10902
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,14457,6830
SIGNS & SYMPTOMS W/O MCC,948,8370,3837
SIMPLE PNEUMONIA & PLEURISY W CC,194,14021,5940
SIMPLE PNEUMONIA & PLEURISY W MCC,193,27353,8421
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,8798,4305
TRANSIENT ISCHEMIA,069,10207,4730
