description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,28915,9984
ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,19869,3898
BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,491,20226,6907
BRONCHITIS & ASTHMA W CC/MCC,202,17017,5038
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,18401,5511
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,308,34071,9063
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,9567,3800
CELLULITIS W/O MCC,603,15733,5503
CERVICAL SPINAL FUSION W/O CC/MCC,473,39346,14024
CHEST PAIN,313,11259,3289
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,16616,5723
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,22061,6923
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,13386,4317
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,28925,6626
DIABETES W CC,638,13744,5832
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W MCC,391,21994,6906
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14069,4291
EXTRACRANIAL PROCEDURES W/O CC/MCC,039,25408,6090
G.I. HEMORRHAGE W CC,378,18273,6422
G.I. HEMORRHAGE W/O CC/MCC,379,10394,4275
G.I. OBSTRUCTION W CC,389,16958,5588
G.I. OBSTRUCTION W/O CC/MCC,390,14307,4411
HEART FAILURE & SHOCK W CC,292,17516,6168
HEART FAILURE & SHOCK W MCC,291,23078,8656
HEART FAILURE & SHOCK W/O CC/MCC,293,11839,4099
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,44033,11159
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,482,33805,9000
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,853,111689,34647
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,20655,6784
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,064,41168,12910
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,066,14808,5651
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15366,4667
MAJOR CARDIOVASC PROCEDURES W/O MCC,238,58532,22075
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,47012,12925
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,640,20722,6817
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13252,4112
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,394,19163,5943
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,698,24459,9148
OTHER VASCULAR PROCEDURES W CC,253,56365,14362
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,247,59594,11782
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,15634,4185
PULMONARY EDEMA & RESPIRATORY FAILURE,189,24596,7793
PULMONARY EMBOLISM W/O MCC,176,19714,8093
RENAL FAILURE W CC,683,19415,6048
RENAL FAILURE W MCC,682,29092,9519
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,24192,8703
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,71268,15714
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,34382,12432
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,18276,6764
SIMPLE PNEUMONIA & PLEURISY W CC,194,19196,6171
SIMPLE PNEUMONIA & PLEURISY W MCC,193,27887,8752
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,14037,4157
SPINAL FUSION EXCEPT CERVICAL W/O MCC,460,72811,23161
SYNCOPE & COLLAPSE,312,14893,5026
TRANSIENT ISCHEMIA,069,14056,4704
