description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,11928,5537
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,10715,5685
G.I. HEMORRHAGE W CC,378,12904,6944
HEART FAILURE & SHOCK W CC,292,12951,6244
HEART FAILURE & SHOCK W MCC,291,13533,8580
HEART FAILURE & SHOCK W/O CC/MCC,293,9357,4420
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,35048,14927
RENAL FAILURE W CC,683,9933,5987
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,26740,12913
SIMPLE PNEUMONIA & PLEURISY W CC,194,12550,6579
