description,code,avgCoveredCharges,averagePayments
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,16216,9354
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,11945,6894
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,14193,7002
G.I. OBSTRUCTION W/O CC/MCC,390,11075,6503
HEART FAILURE & SHOCK W CC,292,15498,9549
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,16233,10462
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,13545,7467
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,47860,22804
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,13837,7321
PULMONARY EMBOLISM W/O MCC,176,11262,9887
RENAL FAILURE W CC,683,16725,9587
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,29203,18048
SIMPLE PNEUMONIA & PLEURISY W CC,194,15294,9277
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,12431,6750
