description,code,avgCoveredCharges,averagePayments
ATHEROSCLEROSIS W/O MCC,303,25491,3237
BRONCHITIS & ASTHMA W/O CC/MCC,203,19245,3377
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,38603,4657
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,18401,3568
CELLULITIS W/O MCC,603,27082,4645
CHEST PAIN,313,17471,3088
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,32475,5485
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,36259,6786
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,25026,4043
CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,287,66000,6041
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,24243,3983
FX SPRN STRN & DISL EXCEPT FEMUR HIP PELVIS & THIGH W/O MCC,563,29534,3972
HEART FAILURE & SHOCK W CC,292,32311,5794
HEART FAILURE & SHOCK W MCC,291,50048,7923
HEART FAILURE & SHOCK W/O CC/MCC,293,26989,3758
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,31686,4331
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,134381,11438
MEDICAL BACK PROBLEMS W/O MCC,552,18346,4961
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,14992,3840
PERIPHERAL VASCULAR DISORDERS W CC,300,33640,5429
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,918,23983,3438
RED BLOOD CELL DISORDERS W/O MCC,812,41643,4418
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,39039,8156
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,67630,9968
SIMPLE PNEUMONIA & PLEURISY W CC,194,38478,5621
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,30328,3933
SYNCOPE & COLLAPSE,312,27442,4280
TRANSIENT ISCHEMIA,069,27476,4059
