description,code,avgCoveredCharges,averagePayments
ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,280,11732,7896
ATHEROSCLEROSIS W/O MCC,303,6162,3211
BRONCHITIS & ASTHMA W CC/MCC,202,7490,4505
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,309,9300,4440
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,7791,3142
CELLULITIS W/O MCC,603,8820,4570
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,191,10103,5235
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,9444,6127
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,7068,3988
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,7614,3953
G.I. HEMORRHAGE W CC,378,12322,5636
HEART FAILURE & SHOCK W CC,292,10210,5382
HEART FAILURE & SHOCK W MCC,291,13795,7239
HEART FAILURE & SHOCK W/O CC/MCC,293,7560,3735
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,481,32265,10399
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,065,13024,6316
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,8948,4263
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,30340,11567
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,8867,3784
RED BLOOD CELL DISORDERS W/O MCC,812,8908,4385
RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,208,16052,10564
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,14879,10016
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,10426,5822
SIMPLE PNEUMONIA & PLEURISY W CC,194,11716,5536
SIMPLE PNEUMONIA & PLEURISY W MCC,193,12811,7486
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,7874,3847
SYNCOPE & COLLAPSE,312,9150,3949
