city,avgCoveredCharges,averagePayments
ABINGTON,37109,6469
ALLENTOWN,29811,6211
ALTOONA,17622,5097
BEAVER,11764,5147
BETHLEHEM,30252,6176
BRYN MAWR,38760,5503
CHAMBERSBURG,20901,5630
DANVILLE,34652,8322
DARBY,38203,7770
DOYLESTOWN,26366,5059
DREXEL HILL,65150,6164
EASTON,28526,5696
ERIE,36271,5540
GREENSBURG,11453,5577
HARRISBURG,14916,6253
JOHNSTOWN,13104,5698
LANCASTER,27237,6238
LANGHORNE,26941,5353
MEADOWBROOK,27437,5442
MEDIA,50123,6082
NATRONA,15896,4898
NORRISTOWN,25028,6806
PHILADELPHIA,52475,8478
PITTSBURGH,23440,5844
POTTSTOWN,31391,5064
POTTSVILLE,13359,5299
READING,22514,6209
SAYRE,16896,5815
SCRANTON,16015,5010
SHARON,11212,5391
UPLAND,71360,7039
WASHINGTON,12821,5921
WEST CHESTER,16276,5058
WILKES BARRE,40341,6920
WILKES-BARRE,21443,5030
WYNNEWOOD,38259,5987
YORK,9771,6373
