city,avgCoveredCharges,averagePayments
ABINGTON,30026,4650
ALLENTOWN,22692,4809
ALTOONA,11020,3850
ASHLAND,11565,4024
BEAVER,7700,4130
BERWICK,26989,3758
BETHLEHEM,23611,4538
BLOOMSBURG,17368,3817
BRISTOL,40642,4393
BRYN MAWR,34027,4449
BUTLER,10021,3656
CAMP HILL,16442,3674
CANONSBURG,12738,3483
CARBONDALE,6912,3698
CARLISLE,15250,3729
CHAMBERSBURG,14960,4050
CLARION,5648,4080
CLEARFIELD,7560,3735
COAL TOWNSHIP,8349,4062
COALDALE,16161,4247
COATESVILLE,29394,4114
DANVILLE,26470,6627
DARBY,30106,6058
DOYLESTOWN,21758,4034
DREXEL HILL,56852,4915
DUBOIS,8177,4093
EAST STROUDSBUR,16744,4920
EASTON,26988,4602
ELLWOOD CITY,5894,3800
EPHRATA,17189,3799
ERIE,18461,4544
GETTYSBURG,9809,4375
GREENSBURG,12417,3801
GREENVILLE,11406,3816
GROVE CITY,9567,3924
HANOVER,8739,4406
HARRISBURG,10642,5086
HAZLETON,14800,3943
HERSHEY,15307,6738
HONESDALE,9380,4272
HUNTINGDON,9609,4114
INDIANA,7874,3827
JOHNSTOWN,10571,4640
KANE,8018,4483
KITTANNING,9023,3753
LANCASTER,19512,4733
LANGHORNE,21548,4227
LANSDALE,22210,4171
LATROBE,10354,4221
LEBANON,11283,4025
LEHIGHTON,9485,3796
LEWISBURG,6788,3510
LEWISTOWN,8757,4244
LOCK HAVEN,20896,4253
MC KEESPORT,11008,5228
MCKEES ROCKS,13641,4602
MEADOWBROOK,43105,4373
MEADVILLE,11789,4140
MEDIA,27950,4225
MONONGAHELA,10247,3438
MONROEVILLE,9727,3871
MOUNT PLEASANT,7443,3628
NATRONA,13084,3958
NEW CASTLE,8179,4239
NORRISTOWN,31625,5007
PALMERTON,9360,3618
PAOLI,30828,4149
PHILA,15916,4485
PHILADELPHIA,37951,6225
PHOENIXVILLE,34034,4082
PITTSBURGH,16001,4883
POTTSTOWN,25563,3952
POTTSVILLE,9093,3883
PUNXSUTAWNEY,7387,3983
QUAKERTOWN,26496,4177
READING,13063,4848
SAINT MARYS,7040,3359
SAYRE,14888,4618
SCRANTON,14267,4082
SELLERSVILLE,17327,4114
SENECA,8496,3484
SEWICKLEY,7103,3775
SHARON,11305,4143
STATE COLLEGE,15095,3465
TUNKHANNOCK,11953,4133
UNIONTOWN,5820,3917
UPLAND,72186,5409
WARREN,9594,4513
WASHINGTON,8259,4279
WAYNESBORO,13671,4575
WAYNESBURG,6978,4590
WELLSBORO,11262,4638
WEST CHESTER,16134,4010
WEST GROVE,32692,4106
WILKES BARRE,17353,4520
WILKES-BARRE,20235,4087
WILLIAMSPORT,12273,4084
WINDBER,8795,3449
WYNNEWOOD,29043,4871
YORK,10225,4830
