city,avgCoveredCharges,averagePayments
ABINGTON,57451,8759
ALLENTOWN,50222,10188
ALTOONA,23347,8095
ASHLAND,14122,5302
BEAVER,15223,7279
BENSALEM,48953,10545
BERWICK,34520,5264
BETHLEHEM,48190,8774
BLOOMSBURG,27726,6005
BRADFORD,11391,6788
BRISTOL,50479,5941
BRYN MAWR,51864,8590
BUTLER,23059,6803
CAMP HILL,29601,7347
CANONSBURG,19944,7879
CARBONDALE,12301,5846
CARLISLE,29474,6777
CHAMBERSBURG,23366,7996
CLARION,9359,6650
CLEARFIELD,11538,5743
COAL TOWNSHIP,9809,5936
COALDALE,24150,6581
COATESVILLE,57307,7231
CONNELLSVILLE,10468,4395
DANVILLE,53776,13722
DARBY,53664,10258
DOYLESTOWN,39105,7763
DREXEL HILL,95354,8384
DUBOIS,17133,8199
EAGLEVILLE,4459,4387
EAST STROUDSBUR,28186,8648
EASTON,59682,8538
ELLWOOD CITY,8808,5435
EPHRATA,25709,6831
ERIE,49089,10177
EVERETT,11047,6940
GETTYSBURG,16667,7351
GREENSBURG,18583,6546
GREENVILLE,18998,6216
GROVE CITY,15000,5958
HANOVER,16376,9031
HARRISBURG,24524,10962
HASTINGS,14610,6942
HAZLETON,30046,8040
HERSHEY,33152,13705
HONESDALE,14576,7441
HUNTINGDON,12547,5552
INDIANA,13838,6462
JOHNSTOWN,21063,8821
KANE,13368,6911
KITTANNING,12480,6188
LANCASTER,31479,9082
LANGHORNE,39399,7641
LANSDALE,31881,6233
LATROBE,16876,7713
LEBANON,25191,7214
LEHIGHTON,12643,5545
LEWISBURG,14011,7447
LEWISTOWN,13135,6562
LITITZ,23044,6641
LOCK HAVEN,30403,7126
MC KEESPORT,22614,9275
MCKEES ROCKS,19381,6255
MEADOWBROOK,61488,7772
MEADVILLE,18930,7535
MEDIA,58587,7676
MONONGAHELA,17147,5826
MONROEVILLE,19594,7082
MOUNT PLEASANT,15850,6219
NATRONA,18681,6790
NEW CASTLE,12837,6849
NORRISTOWN,49486,9092
PALMERTON,14697,6052
PAOLI,47000,7406
PHILA,28669,8272
PHILADELPHIA,64400,11935
PHOENIXVILLE,66788,7089
PITTSBURGH,45837,10421
POTTSTOWN,54037,6536
POTTSVILLE,13595,6077
PUNXSUTAWNEY,8449,5019
QUAKERTOWN,38469,5990
READING,30086,11084
ROARING SPRING,10127,6787
SAINT MARYS,12853,5416
SAYRE,24119,9069
SCRANTON,27525,7610
SELLERSVILLE,35715,7861
SENECA,13661,5833
SEWICKLEY,14145,7002
SHARON,17248,7016
SOMERSET,18211,6430
STATE COLLEGE,30144,7893
SUNBURY,29364,6565
TITUSVILLE,8079,9084
TOWANDA,13312,6142
TRANSFER,34430,10748
TUNKHANNOCK,15412,5443
UNIONTOWN,10066,6829
UPLAND,122524,10111
WARREN,17767,7470
WASHINGTON,17847,8202
WAYNESBORO,19052,7774
WAYNESBURG,11922,7157
WELLSBORO,17015,7720
WEST CHESTER,28076,7314
WEST GROVE,37057,5760
WILKES BARRE,40203,8955
WILKES-BARRE,35759,7293
WILLIAMSPORT,23793,8341
WINDBER,15206,6214
WYNNEWOOD,50606,9483
WYOMISSING,64344,13554
YORK,19961,10342
