description,code,avgCoveredCharges,averagePayments
CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310,6229,3166
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,6788,4058
ESOPHAGITIS GASTROENT & MISC DIGEST DISORDERS W/O MCC,392,7905,3979
HEART FAILURE & SHOCK W CC,292,7595,5505
HEART FAILURE & SHOCK W MCC,291,9293,7826
HEART FAILURE & SHOCK W/O CC/MCC,293,5894,3800
KIDNEY & URINARY TRACT INFECTIONS W MCC,689,13639,6552
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,6822,4364
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,18509,11668
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,641,4777,3835
RENAL FAILURE W CC,683,10760,6379
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,15832,10242
SIMPLE PNEUMONIA & PLEURISY W CC,194,10262,5627
SYNCOPE & COLLAPSE,312,7986,3978
