providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,40629,17977
ARIA HEALTH,390115,56382,11990
CHESTNUT HILL HOSPITAL,390026,58295,10317
HAHNEMANN UNIVERSITY HOSPITAL,390290,160651,18211
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,57850,17108
JEANES HOSPITAL,390080,103059,10720
NAZARETH HOSPITAL,390204,44335,9778
PENN PRESBYTERIAN MEDICAL CENTER,390223,45931,12866
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,96863,17822
ST JOSEPH'S HOSPITAL,390132,45795,15173
TEMPLE UNIVERSITY HOSPITAL,390027,110852,18634
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,70098,15522
