description,code,avgCoveredCharges,averagePayments
CELLULITIS W/O MCC,603,14406,4508
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,190,24459,6578
CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,192,18663,4103
G.I. HEMORRHAGE W CC,378,19166,5753
HEART FAILURE & SHOCK W CC,292,25153,5964
HEART FAILURE & SHOCK W MCC,291,30832,8526
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,690,15247,4287
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,78651,12139
PSYCHOSES,885,31793,5281
RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,178,30334,8492
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,871,41396,10894
SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,872,19645,6602
SIMPLE PNEUMONIA & PLEURISY W CC,194,22805,5754
SIMPLE PNEUMONIA & PLEURISY W MCC,193,27905,8232
SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,195,17633,4099
